componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1249,49,12,BRC0797B,Nome não encontrado
Energia,kcal,298,11,2,BRC0797B,Nome não encontrado
Umidade,g,"12,5","0,50","0,12",BRC0797B,Nome não encontrado
Carboidrato total,g,"69,4","2,78","0,69",BRC0797B,Nome não encontrado
Carboidrato disponível,g,"44,1","1,76","0,44",BRC0797B,Nome não encontrado
Proteína,g,"10,4","0,42","0,10",BRC0797B,Nome não encontrado
Lipídios,g,"3,26","0,13","0,03",BRC0797B,Nome não encontrado
Fibra alimentar,g,"25,3","1,01","0,25",BRC0797B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Cinzas,g,"4,49","0,18","0,04",BRC0797B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Ácidos graxos saturados,g,"1,33","0,05","0,01",BRC0797B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,74","0,03","0,01",BRC0797B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,00","0,04","0,01",BRC0797B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Cálcio,mg,443,"17,7","4,43",BRC0797B,Nome não encontrado
Ferro,mg,"9,71","0,39","0,10",BRC0797B,Nome não encontrado
Sódio,mg,"20,0","0,80","0,20",BRC0797B,Nome não encontrado
Magnésio,mg,171,"6,84","1,71",BRC0797B,Nome não encontrado
Fósforo,mg,158,"6,32","1,58",BRC0797B,Nome não encontrado
Potássio,mg,1329,"53,2","13,3",BRC0797B,Nome não encontrado
Manganês,mg,"12,8","0,51","0,13",BRC0797B,Nome não encontrado
Zinco,mg,"1,19","0,05","0,01",BRC0797B,Nome não encontrado
Cobre,mg,"1,33","0,05","0,01",BRC0797B,Nome não encontrado
Selênio,mcg,"4,90","0,20","0,05",BRC0797B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0797B,Nome não encontrado
Vitamina A (RAE),mcg,"27,0","1,08","0,27",BRC0797B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,04","0,04","0,01",BRC0797B,Nome não encontrado
Tiamina,mg,"0,11","0,00","0,00",BRC0797B,Nome não encontrado
Riboflavina,mg,"0,18","0,01","0,00",BRC0797B,Nome não encontrado
Niacina,mg,"1,14","0,05","0,01",BRC0797B,Nome não encontrado
Vitamina B6,mg,"0,29","0,01","0,00",BRC0797B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Equivalente de folato,mcg,"17,0","0,68","0,17",BRC0797B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
Proteína vegetal,g,"10,4","0,42","0,10",BRC0797B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0797B,Nome não encontrado
