componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,330,65,428,BRC0733B,Nome não encontrado
Energia,kcal,79,15,102,BRC0733B,Nome não encontrado
Umidade,g,"83,7","16,7",108,BRC0733B,Nome não encontrado
Carboidrato total,g,"8,77","1,75","11,4",BRC0733B,Nome não encontrado
Carboidrato disponível,g,"7,65","1,53","9,94",BRC0733B,Nome não encontrado
Proteína,g,"2,49","0,50","3,24",BRC0733B,Nome não encontrado
Lipídios,g,"4,01","0,80","5,21",BRC0733B,Nome não encontrado
Fibra alimentar,g,"1,12","0,22","1,46",BRC0733B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0733B,Nome não encontrado
Cinzas,g,"1,08","0,22","1,40",BRC0733B,Nome não encontrado
Colesterol,mg,"5,45","1,09","7,08",BRC0733B,Nome não encontrado
Ácidos graxos saturados,g,"1,48","0,30","1,92",BRC0733B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,99","0,20","1,29",BRC0733B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,23","0,25","1,60",BRC0733B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,00","0,02",BRC0733B,Nome não encontrado
Cálcio,mg,"47,2","9,44","61,3",BRC0733B,Nome não encontrado
Ferro,mg,"0,35","0,07","0,46",BRC0733B,Nome não encontrado
Sódio,mg,214,"42,9",278,BRC0733B,Nome não encontrado
Magnésio,mg,"8,92","1,78","11,6",BRC0733B,Nome não encontrado
Fósforo,mg,"52,0","10,4","67,6",BRC0733B,Nome não encontrado
Potássio,mg,150,"30,2",196,BRC0733B,Nome não encontrado
Manganês,mg,"0,13","0,03","0,17",BRC0733B,Nome não encontrado
Zinco,mg,"0,39","0,08","0,50",BRC0733B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC0733B,Nome não encontrado
Selênio,mcg,"2,41","0,48","3,14",BRC0733B,Nome não encontrado
Vitamina A (RE),mcg,272,"54,4",353,BRC0733B,Nome não encontrado
Vitamina A (RAE),mcg,148,"29,7",193,BRC0733B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,01",BRC0733B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,41","0,68","4,43",BRC0733B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,07",BRC0733B,Nome não encontrado
Riboflavina,mg,"0,09","0,02","0,11",BRC0733B,Nome não encontrado
Niacina,mg,"0,63","0,13","0,82",BRC0733B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0733B,Nome não encontrado
Vitamina B12,mcg,"0,15","0,03","0,20",BRC0733B,Nome não encontrado
Vitamina C,mg,"3,26","0,65","4,24",BRC0733B,Nome não encontrado
Equivalente de folato,mcg,"11,6","2,32","15,1",BRC0733B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0733B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0733B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0733B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0733B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0733B,Nome não encontrado
