componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,403,241,181,BRC0145T,Nome não encontrado
Energia,kcal,97,58,43,BRC0145T,Nome não encontrado
Umidade,g,"73,6","44,1","33,1",BRC0145T,Nome não encontrado
Carboidrato total,g,"13,0","7,79","5,84",BRC0145T,Nome não encontrado
Carboidrato disponível,g,"9,87","5,92","4,44",BRC0145T,Nome não encontrado
Proteína,g,"10,1","6,07","4,55",BRC0145T,Nome não encontrado
Lipídios,g,"1,18","0,71","0,53",BRC0145T,Nome não encontrado
Fibra alimentar,g,"3,12","1,87","1,40",BRC0145T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0145T,Nome não encontrado
Cinzas,g,"2,13","1,28","0,96",BRC0145T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0145T,Nome não encontrado
Ácidos graxos saturados,g,"0,16","0,10","0,07",BRC0145T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,14","0,11",BRC0145T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,36","0,27",BRC0145T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0145T,Nome não encontrado
Cálcio,mg,"31,7","19,0","14,3",BRC0145T,Nome não encontrado
Ferro,mg,"2,15","1,29","0,97",BRC0145T,Nome não encontrado
Sódio,mg,342,205,154,BRC0145T,Nome não encontrado
Magnésio,mg,"11,2","6,71","5,03",BRC0145T,Nome não encontrado
Fósforo,mg,123,"74,0","55,5",BRC0145T,Nome não encontrado
Potássio,mg,133,"80,4","60,3",BRC0145T,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03",BRC0145T,Nome não encontrado
Zinco,mg,"0,68","0,41","0,30",BRC0145T,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0145T,Nome não encontrado
Selênio,mcg,"0,20","0,12","0,09",BRC0145T,Nome não encontrado
Vitamina A (RE),mcg,109,"65,8","49,4",BRC0145T,Nome não encontrado
Vitamina A (RAE),mcg,"58,1","34,9","26,1",BRC0145T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0145T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,46","0,28","0,21",BRC0145T,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0145T,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01",BRC0145T,Nome não encontrado
Niacina,mg,"0,55","0,33","0,25",BRC0145T,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,03",BRC0145T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0145T,Nome não encontrado
Vitamina C,mg,"10,4","6,23","4,67",BRC0145T,Nome não encontrado
Equivalente de folato,mcg,"31,7","19,0","14,2",BRC0145T,Nome não encontrado
Sal de adição,g,"0,50","0,30","0,23",BRC0145T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0145T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0145T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0145T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0145T,Nome não encontrado
