componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,445,890,BRC0076H,Nome não encontrado
Energia,kcal,106,211,BRC0076H,Nome não encontrado
Umidade,g,"76,0",151,BRC0076H,Nome não encontrado
Carboidrato total,g,"18,0","36,1",BRC0076H,Nome não encontrado
Carboidrato disponível,g,"17,9","35,8",BRC0076H,Nome não encontrado
Proteína,g,"2,76","5,52",BRC0076H,Nome não encontrado
Lipídios,g,"2,52","5,04",BRC0076H,Nome não encontrado
Fibra alimentar,g,"0,16","0,33",BRC0076H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0076H,Nome não encontrado
Cinzas,g,"0,71","1,42",BRC0076H,Nome não encontrado
Colesterol,mg,"8,14","16,3",BRC0076H,Nome não encontrado
Ácidos graxos saturados,g,"1,54","3,08",BRC0076H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,73","1,46",BRC0076H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,22",BRC0076H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0076H,Nome não encontrado
Cálcio,mg,"86,1",172,BRC0076H,Nome não encontrado
Ferro,mg,"1,53","3,05",BRC0076H,Nome não encontrado
Sódio,mg,"45,0","90,0",BRC0076H,Nome não encontrado
Magnésio,mg,"56,9",113,BRC0076H,Nome não encontrado
Fósforo,mg,125,251,BRC0076H,Nome não encontrado
Potássio,mg,252,505,BRC0076H,Nome não encontrado
Manganês,mg,"0,13","0,26",BRC0076H,Nome não encontrado
Zinco,mg,"0,92","1,84",BRC0076H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0076H,Nome não encontrado
Selênio,mcg,,,BRC0076H,Nome não encontrado
Vitamina A (RE),mcg,"32,6","65,3",BRC0076H,Nome não encontrado
Vitamina A (RAE),mcg,"32,1","64,2",BRC0076H,Nome não encontrado
Vitamina D,mcg,"0,77","1,54",BRC0076H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,11",BRC0076H,Nome não encontrado
Tiamina,mg,"0,03","0,07",BRC0076H,Nome não encontrado
Riboflavina,mg,"0,18","0,37",BRC0076H,Nome não encontrado
Niacina,mg,"1,25","2,50",BRC0076H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0076H,Nome não encontrado
Vitamina B12,mcg,"0,25","0,49",BRC0076H,Nome não encontrado
Vitamina C,mg,traços,,BRC0076H,Nome não encontrado
Equivalente de folato,mcg,"6,48","13,0",BRC0076H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0076H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0076H,Nome não encontrado
Gordura de adição,g,-,-,BRC0076H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0076H,Nome não encontrado
Proteína animal,g,-,-,BRC0076H,Nome não encontrado
