componente,unidade,Valor por 100g,Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,243,24,BRC0775B,Nome não encontrado
Energia,kcal,58,5,BRC0775B,Nome não encontrado
Umidade,g,"83,3","8,33",BRC0775B,Nome não encontrado
Carboidrato total,g,"12,0","1,20",BRC0775B,Nome não encontrado
Carboidrato disponível,g,"9,07","0,91",BRC0775B,Nome não encontrado
Proteína,g,"1,82","0,18",BRC0775B,Nome não encontrado
Lipídios,g,"0,93","0,09",BRC0775B,Nome não encontrado
Fibra alimentar,g,"2,96","0,30",BRC0775B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0775B,Nome não encontrado
Cinzas,g,"1,98","0,20",BRC0775B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0775B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,00",BRC0775B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,49","0,05",BRC0775B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,01",BRC0775B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0775B,Nome não encontrado
Cálcio,mg,182,"18,3",BRC0775B,Nome não encontrado
Ferro,mg,"5,80","0,58",BRC0775B,Nome não encontrado
Sódio,mg,"46,0","4,60",BRC0775B,Nome não encontrado
Magnésio,mg,"46,3","4,63",BRC0775B,Nome não encontrado
Fósforo,mg,251,"25,1",BRC0775B,Nome não encontrado
Potássio,mg,359,"35,9",BRC0775B,Nome não encontrado
Manganês,mg,"3,25","0,32",BRC0775B,Nome não encontrado
Zinco,mg,"1,38","0,14",BRC0775B,Nome não encontrado
Cobre,mg,"0,14","0,01",BRC0775B,Nome não encontrado
Selênio,mcg,"0,90","0,09",BRC0775B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0775B,Nome não encontrado
Vitamina A (RAE),mcg,600,"60,0",BRC0775B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0775B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,45","0,45",BRC0775B,Nome não encontrado
Tiamina,mg,"0,14","0,01",BRC0775B,Nome não encontrado
Riboflavina,mg,"0,35","0,03",BRC0775B,Nome não encontrado
Niacina,mg,"2,40","0,24",BRC0775B,Nome não encontrado
Vitamina B6,mg,"0,32","0,03",BRC0775B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0775B,Nome não encontrado
Vitamina C,mg,"58,1","5,81",BRC0775B,Nome não encontrado
Equivalente de folato,mcg,133,"13,3",BRC0775B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0775B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0775B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0775B,Nome não encontrado
Proteína vegetal,g,"1,82","0,18",BRC0775B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0775B,Nome não encontrado
