componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,248,595,409,BRC0146H,Nome não encontrado
Energia,kcal,59,142,97,BRC0146H,Nome não encontrado
Umidade,g,"88,6",212,146,BRC0146H,Nome não encontrado
Carboidrato total,g,"0,85","2,04","1,40",BRC0146H,Nome não encontrado
Carboidrato disponível,g,"0,45","1,08","0,74",BRC0146H,Nome não encontrado
Proteína,g,"6,59","15,8","10,9",BRC0146H,Nome não encontrado
Lipídios,g,"3,38","8,11","5,58",BRC0146H,Nome não encontrado
Fibra alimentar,g,"0,40","0,96","0,66",BRC0146H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0146H,Nome não encontrado
Cinzas,g,"0,61","1,46","1,01",BRC0146H,Nome não encontrado
Colesterol,mg,"4,00","9,60","6,60",BRC0146H,Nome não encontrado
Ácidos graxos saturados,g,"0,51","1,22","0,84",BRC0146H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,10","5,04","3,47",BRC0146H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","1,84","1,27",BRC0146H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0146H,Nome não encontrado
Cálcio,mg,130,312,214,BRC0146H,Nome não encontrado
Ferro,mg,"0,96","2,30","1,58",BRC0146H,Nome não encontrado
Sódio,mg,"72,0",172,118,BRC0146H,Nome não encontrado
Magnésio,mg,"44,0",105,"72,6",BRC0146H,Nome não encontrado
Fósforo,mg,136,326,224,BRC0146H,Nome não encontrado
Potássio,mg,179,429,295,BRC0146H,Nome não encontrado
Manganês,mg,,,,BRC0146H,Nome não encontrado
Zinco,mg,"0,85","2,04","1,40",BRC0146H,Nome não encontrado
Cobre,mg,"0,01","0,03","0,02",BRC0146H,Nome não encontrado
Selênio,mcg,"4,50","10,8","7,43",BRC0146H,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0146H,Nome não encontrado
Vitamina A (RAE),mcg,171,410,282,BRC0146H,Nome não encontrado
Vitamina D,mcg,"1,10","2,64","1,82",BRC0146H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,58","11,0","7,56",BRC0146H,Nome não encontrado
Tiamina,mg,"0,17","0,41","0,28",BRC0146H,Nome não encontrado
Riboflavina,mg,"0,19","0,46","0,31",BRC0146H,Nome não encontrado
Niacina,mg,"2,39","5,74","3,94",BRC0146H,Nome não encontrado
Vitamina B6,mg,"0,21","0,50","0,34",BRC0146H,Nome não encontrado
Vitamina B12,mcg,"0,60","1,44","0,99",BRC0146H,Nome não encontrado
Vitamina C,mg,"19,4","46,6","32,0",BRC0146H,Nome não encontrado
Equivalente de folato,mcg,"69,0",165,113,BRC0146H,Nome não encontrado
Sal de adição,g,,,,BRC0146H,Nome não encontrado
Açúcar de adição,g,,,,BRC0146H,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0146H,Nome não encontrado
Proteína vegetal,g,,,,BRC0146H,Nome não encontrado
Proteína animal,g,,,,BRC0146H,Nome não encontrado
