componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),Prato raso (280 g),codigo_alimento,nome_alimento
Energia,kJ,521,260,573,469,1042,1459,BRC0229A,Nome não encontrado
Energia,kcal,123,61,135,110,246,345,BRC0229A,Nome não encontrado
Umidade,g,"67,9","33,9","74,7","61,1",135,190,BRC0229A,Nome não encontrado
Carboidrato total,g,"26,4","13,2","29,0","23,8","52,8","73,9",BRC0229A,Nome não encontrado
Carboidrato disponível,g,"22,9","11,4","25,2","20,6","45,8","64,1",BRC0229A,Nome não encontrado
Proteína,g,"4,90","2,45","5,39","4,41","9,80","13,7",BRC0229A,Nome não encontrado
Lipídios,g,"0,56","0,28","0,62","0,51","1,13","1,58",BRC0229A,Nome não encontrado
Fibra alimentar,g,"3,51","1,76","3,86","3,16","7,02","9,83",BRC0229A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Cinzas,g,"0,27","0,13","0,29","0,24","0,53","0,74",BRC0229A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,08","0,18","0,15","0,33","0,46",BRC0229A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,07","0,03","0,08","0,06","0,14","0,19",BRC0229A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,22","0,11","0,24","0,20","0,44","0,61",BRC0229A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Cálcio,mg,"8,48","4,24","9,33","7,63","17,0","23,8",BRC0229A,Nome não encontrado
Ferro,mg,"0,44","0,22","0,49","0,40","0,89","1,24",BRC0229A,Nome não encontrado
Sódio,mg,"1,85","0,93","2,04","1,67","3,70","5,18",BRC0229A,Nome não encontrado
Magnésio,mg,"12,1","6,07","13,4","10,9","24,3","34,0",BRC0229A,Nome não encontrado
Fósforo,mg,"48,9","24,5","53,8","44,0","97,9",137,BRC0229A,Nome não encontrado
Potássio,mg,"45,5","22,8","50,1","41,0","91,1",127,BRC0229A,Nome não encontrado
Manganês,mg,"0,27","0,14","0,30","0,25","0,55","0,76",BRC0229A,Nome não encontrado
Zinco,mg,"0,40","0,20","0,44","0,36","0,80","1,12",BRC0229A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,08","0,06","0,14","0,20",BRC0229A,Nome não encontrado
Selênio,mcg,"2,63","1,32","2,90","2,37","5,26","7,37",BRC0229A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,04","0,10","0,08","0,18","0,25",BRC0229A,Nome não encontrado
Tiamina,mg,"0,09","0,05","0,10","0,08","0,19","0,26",BRC0229A,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,06","0,05","0,11","0,15",BRC0229A,Nome não encontrado
Niacina,mg,"1,98","0,99","2,17","1,78","3,95","5,54",BRC0229A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,09","0,07","0,16","0,22",BRC0229A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Equivalente de folato,mcg,"16,9","8,45","18,6","15,2","33,8","47,3",BRC0229A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
Proteína vegetal,g,"4,90","2,45","5,39","4,41","9,80","13,7",BRC0229A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0229A,Nome não encontrado
