componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,320,767,527,BRC0031G,Nome não encontrado
Energia,kcal,75,180,124,BRC0031G,Nome não encontrado
Umidade,g,"80,8",193,133,BRC0031G,Nome não encontrado
Carboidrato total,g,"16,7","40,2","27,6",BRC0031G,Nome não encontrado
Carboidrato disponível,g,"16,7","40,2","27,6",BRC0031G,Nome não encontrado
Proteína,g,"1,93","4,62","3,18",BRC0031G,Nome não encontrado
Lipídios,g,"0,08","0,18","0,12",BRC0031G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0031G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0031G,Nome não encontrado
Cinzas,g,"0,45","1,07","0,74",BRC0031G,Nome não encontrado
Colesterol,mg,"1,39","3,34","2,30",BRC0031G,Nome não encontrado
Ácidos graxos saturados,g,,,,BRC0031G,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,BRC0031G,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,BRC0031G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0031G,Nome não encontrado
Cálcio,mg,"75,7",181,124,BRC0031G,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0031G,Nome não encontrado
Sódio,mg,"35,4","84,9","58,4",BRC0031G,Nome não encontrado
Magnésio,mg,"6,60","15,8","10,9",BRC0031G,Nome não encontrado
Fósforo,mg,"66,5",159,109,BRC0031G,Nome não encontrado
Potássio,mg,100,240,165,BRC0031G,Nome não encontrado
Manganês,mg,"0,02","0,05","0,03",BRC0031G,Nome não encontrado
Zinco,mg,"0,28","0,66","0,46",BRC0031G,Nome não encontrado
Cobre,mg,"0,01","0,03","0,02",BRC0031G,Nome não encontrado
Selênio,mcg,"3,89","9,33","6,41",BRC0031G,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0031G,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0031G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0031G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,traços,traços,traços,BRC0031G,Nome não encontrado
Tiamina,mg,"0,08","0,19","0,13",BRC0031G,Nome não encontrado
Riboflavina,mg,"0,11","0,27","0,19",BRC0031G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0031G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0031G,Nome não encontrado
Vitamina B12,mcg,"0,43","1,03","0,71",BRC0031G,Nome não encontrado
Vitamina C,mg,"0,52","1,25","0,86",BRC0031G,Nome não encontrado
Equivalente de folato,mcg,"9,72","23,3","16,0",BRC0031G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0031G,Nome não encontrado
Açúcar de adição,g,,,,BRC0031G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0031G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0031G,Nome não encontrado
Proteína animal,g,"1,93","4,62","3,18",BRC0031G,Nome não encontrado
