componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,114,4,1,BRC0825B,Nome não encontrado
Energia,kcal,27,1,0,BRC0825B,Nome não encontrado
Umidade,g,"91,7","3,67","0,92",BRC0825B,Nome não encontrado
Carboidrato total,g,"6,50","0,26","0,07",BRC0825B,Nome não encontrado
Carboidrato disponível,g,"3,70","0,15","0,04",BRC0825B,Nome não encontrado
Proteína,g,"0,91","0,04","0,01",BRC0825B,Nome não encontrado
Lipídios,g,"0,37","0,01","0,00",BRC0825B,Nome não encontrado
Fibra alimentar,g,"2,80","0,11","0,03",BRC0825B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Cinzas,g,"0,53","0,02","0,01",BRC0825B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,00","0,00",BRC0825B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,00","0,00",BRC0825B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,00","0,00",BRC0825B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Cálcio,mg,"12,0","0,48","0,12",BRC0825B,Nome não encontrado
Ferro,mg,"0,25","0,01","0,00",BRC0825B,Nome não encontrado
Sódio,mg,"3,00","0,12","0,03",BRC0825B,Nome não encontrado
Magnésio,mg,"15,0","0,60","0,15",BRC0825B,Nome não encontrado
Fósforo,mg,"26,0","1,04","0,26",BRC0825B,Nome não encontrado
Potássio,mg,248,"9,92","2,48",BRC0825B,Nome não encontrado
Manganês,mg,"0,10","0,00","0,00",BRC0825B,Nome não encontrado
Zinco,mg,"0,14","0,01","0,00",BRC0825B,Nome não encontrado
Cobre,mg,"0,05","0,00","0,00",BRC0825B,Nome não encontrado
Selênio,mcg,"0,40","0,02","0,00",BRC0825B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0825B,Nome não encontrado
Vitamina A (RAE),mcg,"54,0","2,16","0,54",BRC0825B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,58","0,14","0,04",BRC0825B,Nome não encontrado
Tiamina,mg,"0,04","0,00","0,00",BRC0825B,Nome não encontrado
Riboflavina,mg,"0,07","0,00","0,00",BRC0825B,Nome não encontrado
Niacina,mg,"1,28","0,05","0,01",BRC0825B,Nome não encontrado
Vitamina B6,mg,"0,42","0,02","0,00",BRC0825B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Vitamina C,mg,118,"4,74","1,19",BRC0825B,Nome não encontrado
Equivalente de folato,mcg,"27,0","1,08","0,27",BRC0825B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
Proteína vegetal,g,"0,91","0,04","0,01",BRC0825B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0825B,Nome não encontrado
