componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,383,210,BRC0179N,Nome não encontrado
Energia,kcal,91,50,BRC0179N,Nome não encontrado
Umidade,g,"79,1","43,5",BRC0179N,Nome não encontrado
Carboidrato total,g,"15,8","8,66",BRC0179N,Nome não encontrado
Carboidrato disponível,g,"14,2","7,83",BRC0179N,Nome não encontrado
Proteína,g,"2,07","1,14",BRC0179N,Nome não encontrado
Lipídios,g,"2,53","1,39",BRC0179N,Nome não encontrado
Fibra alimentar,g,"1,52","0,83",BRC0179N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0179N,Nome não encontrado
Cinzas,g,"0,54","0,30",BRC0179N,Nome não encontrado
Colesterol,mg,"0,74","0,41",BRC0179N,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,22",BRC0179N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,65","0,91",BRC0179N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,51","0,28",BRC0179N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0179N,Nome não encontrado
Cálcio,mg,"24,6","13,5",BRC0179N,Nome não encontrado
Ferro,mg,"1,06","0,58",BRC0179N,Nome não encontrado
Sódio,mg,280,154,BRC0179N,Nome não encontrado
Magnésio,mg,"7,18","3,95",BRC0179N,Nome não encontrado
Fósforo,mg,"15,5","8,50",BRC0179N,Nome não encontrado
Potássio,mg,124,"68,7",BRC0179N,Nome não encontrado
Manganês,mg,"0,03","0,02",BRC0179N,Nome não encontrado
Zinco,mg,"0,06","0,03",BRC0179N,Nome não encontrado
Cobre,mg,"0,03","0,02",BRC0179N,Nome não encontrado
Selênio,mcg,"0,77","0,42",BRC0179N,Nome não encontrado
Vitamina A (RE),mcg,"47,4","26,1",BRC0179N,Nome não encontrado
Vitamina A (RAE),mcg,"23,7","13,0",BRC0179N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0179N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,22","0,12",BRC0179N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0179N,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0179N,Nome não encontrado
Niacina,mg,"0,14","0,08",BRC0179N,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0179N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0179N,Nome não encontrado
Vitamina C,mg,"3,67","2,02",BRC0179N,Nome não encontrado
Equivalente de folato,mcg,"42,8","23,6",BRC0179N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0179N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0179N,Nome não encontrado
Gordura de adição,g,-,-,BRC0179N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0179N,Nome não encontrado
Proteína animal,g,-,-,BRC0179N,Nome não encontrado
