componente,unidade,Valor por 100g,Porção Média (80 g),codigo_alimento,nome_alimento
Energia,kJ,998,798,BRC0587A,Nome não encontrado
Energia,kcal,239,191,BRC0587A,Nome não encontrado
Umidade,g,"54,6","43,7",BRC0587A,Nome não encontrado
Carboidrato total,g,"13,5","10,8",BRC0587A,Nome não encontrado
Carboidrato disponível,g,"13,1","10,5",BRC0587A,Nome não encontrado
Proteína,g,"15,2","12,2",BRC0587A,Nome não encontrado
Lipídios,g,"13,9","11,1",BRC0587A,Nome não encontrado
Fibra alimentar,g,"0,36","0,28",BRC0587A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0587A,Nome não encontrado
Cinzas,g,"2,83","2,27",BRC0587A,Nome não encontrado
Colesterol,mg,"78,5","62,8",BRC0587A,Nome não encontrado
Ácidos graxos saturados,g,"6,00","4,80",BRC0587A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,67","2,93",BRC0587A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,25","1,80",BRC0587A,Nome não encontrado
Ácidos graxos trans,g,"0,29","0,23",BRC0587A,Nome não encontrado
Cálcio,mg,273,218,BRC0587A,Nome não encontrado
Ferro,mg,"1,29","1,03",BRC0587A,Nome não encontrado
Sódio,mg,658,526,BRC0587A,Nome não encontrado
Magnésio,mg,"21,0","16,8",BRC0587A,Nome não encontrado
Fósforo,mg,287,230,BRC0587A,Nome não encontrado
Potássio,mg,193,154,BRC0587A,Nome não encontrado
Manganês,mg,"0,14","0,11",BRC0587A,Nome não encontrado
Zinco,mg,"2,01","1,61",BRC0587A,Nome não encontrado
Cobre,mg,"0,09","0,07",BRC0587A,Nome não encontrado
Selênio,mcg,"5,97","4,78",BRC0587A,Nome não encontrado
Vitamina A (RE),mcg,"31,2","25,0",BRC0587A,Nome não encontrado
Vitamina A (RAE),mcg,"31,0","24,8",BRC0587A,Nome não encontrado
Vitamina D,mcg,"0,36","0,29",BRC0587A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,38",BRC0587A,Nome não encontrado
Tiamina,mg,"0,23","0,18",BRC0587A,Nome não encontrado
Riboflavina,mg,"0,20","0,16",BRC0587A,Nome não encontrado
Niacina,mg,"1,79","1,43",BRC0587A,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0587A,Nome não encontrado
Vitamina B12,mcg,"1,01","0,81",BRC0587A,Nome não encontrado
Vitamina C,mg,"0,98","0,78",BRC0587A,Nome não encontrado
Equivalente de folato,mcg,"33,9","27,1",BRC0587A,Nome não encontrado
Sal de adição,g,"0,47","0,38",BRC0587A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0587A,Nome não encontrado
Gordura de adição,g,-,-,BRC0587A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0587A,Nome não encontrado
Proteína animal,g,-,-,BRC0587A,Nome não encontrado
