componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,229,45,297,BRC0249E,Nome não encontrado
Energia,kcal,54,10,70,BRC0249E,Nome não encontrado
Umidade,g,"87,5","17,5",113,BRC0249E,Nome não encontrado
Carboidrato total,g,"1,54","0,31","2,00",BRC0249E,Nome não encontrado
Carboidrato disponível,g,"1,22","0,24","1,58",BRC0249E,Nome não encontrado
Proteína,g,"8,56","1,71","11,1",BRC0249E,Nome não encontrado
Lipídios,g,"1,59","0,32","2,06",BRC0249E,Nome não encontrado
Fibra alimentar,g,"0,32","0,06","0,41",BRC0249E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0249E,Nome não encontrado
Cinzas,g,"0,86","0,17","1,11",BRC0249E,Nome não encontrado
Colesterol,mg,112,"22,5",145,BRC0249E,Nome não encontrado
Ácidos graxos saturados,g,"0,34","0,07","0,44",BRC0249E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,06","0,42",BRC0249E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,68","0,14","0,89",BRC0249E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0249E,Nome não encontrado
Cálcio,mg,"48,0","9,59","62,3",BRC0249E,Nome não encontrado
Ferro,mg,"1,20","0,24","1,56",BRC0249E,Nome não encontrado
Sódio,mg,196,"39,2",254,BRC0249E,Nome não encontrado
Magnésio,mg,"11,3","2,26","14,7",BRC0249E,Nome não encontrado
Fósforo,mg,132,"26,5",172,BRC0249E,Nome não encontrado
Potássio,mg,102,"20,5",133,BRC0249E,Nome não encontrado
Manganês,mg,"0,08","0,02","0,10",BRC0249E,Nome não encontrado
Zinco,mg,"0,59","0,12","0,77",BRC0249E,Nome não encontrado
Cobre,mg,"0,20","0,04","0,27",BRC0249E,Nome não encontrado
Selênio,mcg,"0,06","0,01","0,08",BRC0249E,Nome não encontrado
Vitamina A (RE),mcg,"37,2","7,44","48,4",BRC0249E,Nome não encontrado
Vitamina A (RAE),mcg,"21,4","4,28","27,8",BRC0249E,Nome não encontrado
Vitamina D,mcg,"0,04","0,01","0,05",BRC0249E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,88","0,18","1,14",BRC0249E,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,01",BRC0249E,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,01",BRC0249E,Nome não encontrado
Niacina,mg,"0,10","0,02","0,13",BRC0249E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0249E,Nome não encontrado
Vitamina B12,mcg,"0,74","0,15","0,97",BRC0249E,Nome não encontrado
Vitamina C,mg,"3,20","0,64","4,16",BRC0249E,Nome não encontrado
Equivalente de folato,mcg,"12,2","2,45","15,9",BRC0249E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0249E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0249E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0249E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0249E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0249E,Nome não encontrado
