componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,694,763,BRC0351F,Nome não encontrado
Energia,kcal,165,181,BRC0351F,Nome não encontrado
Umidade,g,"63,0","69,3",BRC0351F,Nome não encontrado
Carboidrato total,g,"1,97","2,17",BRC0351F,Nome não encontrado
Carboidrato disponível,g,"1,47","1,61",BRC0351F,Nome não encontrado
Proteína,g,"29,1","32,0",BRC0351F,Nome não encontrado
Lipídios,g,"4,62","5,08",BRC0351F,Nome não encontrado
Fibra alimentar,g,"0,50","0,55",BRC0351F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0351F,Nome não encontrado
Cinzas,g,"1,35","1,49",BRC0351F,Nome não encontrado
Colesterol,mg,"81,5","89,7",BRC0351F,Nome não encontrado
Ácidos graxos saturados,g,"1,78","1,96",BRC0351F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,76","1,93",BRC0351F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,69","0,76",BRC0351F,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,04",BRC0351F,Nome não encontrado
Cálcio,mg,"6,27","6,90",BRC0351F,Nome não encontrado
Ferro,mg,"1,98","2,17",BRC0351F,Nome não encontrado
Sódio,mg,304,335,BRC0351F,Nome não encontrado
Magnésio,mg,"20,0","22,0",BRC0351F,Nome não encontrado
Fósforo,mg,199,219,BRC0351F,Nome não encontrado
Potássio,mg,369,406,BRC0351F,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0351F,Nome não encontrado
Zinco,mg,"4,16","4,57",BRC0351F,Nome não encontrado
Cobre,mg,"0,10","0,11",BRC0351F,Nome não encontrado
Selênio,mcg,"0,07","0,07",BRC0351F,Nome não encontrado
Vitamina A (RE),mcg,"26,7","29,4",BRC0351F,Nome não encontrado
Vitamina A (RAE),mcg,"13,4","14,7",BRC0351F,Nome não encontrado
Vitamina D,mcg,"0,09","0,10",BRC0351F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,40","0,43",BRC0351F,Nome não encontrado
Tiamina,mg,"0,02","0,03",BRC0351F,Nome não encontrado
Riboflavina,mg,"0,14","0,15",BRC0351F,Nome não encontrado
Niacina,mg,"3,95","4,34",BRC0351F,Nome não encontrado
Vitamina B6,mg,"0,14","0,16",BRC0351F,Nome não encontrado
Vitamina B12,mcg,"0,79","0,87",BRC0351F,Nome não encontrado
Vitamina C,mg,"3,98","4,38",BRC0351F,Nome não encontrado
Equivalente de folato,mcg,"3,23","3,56",BRC0351F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0351F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0351F,Nome não encontrado
Gordura de adição,g,-,-,BRC0351F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0351F,Nome não encontrado
Proteína animal,g,-,-,BRC0351F,Nome não encontrado
