componente,unidade,Valor por 100g,Colher servir cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,642,641,BRC0561A,Nome não encontrado
Energia,kcal,153,153,BRC0561A,Nome não encontrado
Umidade,g,"66,8","66,8",BRC0561A,Nome não encontrado
Carboidrato total,g,"15,6","15,6",BRC0561A,Nome não encontrado
Carboidrato disponível,g,"14,2","14,2",BRC0561A,Nome não encontrado
Proteína,g,"8,69","8,69",BRC0561A,Nome não encontrado
Lipídios,g,"6,53","6,53",BRC0561A,Nome não encontrado
Fibra alimentar,g,"1,41","1,41",BRC0561A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0561A,Nome não encontrado
Cinzas,g,"2,41","2,41",BRC0561A,Nome não encontrado
Colesterol,mg,"25,1","25,1",BRC0561A,Nome não encontrado
Ácidos graxos saturados,g,"2,82","2,82",BRC0561A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,69","1,69",BRC0561A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,14","1,14",BRC0561A,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,13",BRC0561A,Nome não encontrado
Cálcio,mg,126,126,BRC0561A,Nome não encontrado
Ferro,mg,"1,07","1,07",BRC0561A,Nome não encontrado
Sódio,mg,646,646,BRC0561A,Nome não encontrado
Magnésio,mg,"12,6","12,6",BRC0561A,Nome não encontrado
Fósforo,mg,143,143,BRC0561A,Nome não encontrado
Potássio,mg,172,172,BRC0561A,Nome não encontrado
Manganês,mg,"0,15","0,15",BRC0561A,Nome não encontrado
Zinco,mg,"1,05","1,05",BRC0561A,Nome não encontrado
Cobre,mg,"0,09","0,09",BRC0561A,Nome não encontrado
Selênio,mcg,"5,25","5,25",BRC0561A,Nome não encontrado
Vitamina A (RE),mcg,"59,8","59,8",BRC0561A,Nome não encontrado
Vitamina A (RAE),mcg,"38,8","38,8",BRC0561A,Nome não encontrado
Vitamina D,mcg,"0,11","0,11",BRC0561A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,42","0,42",BRC0561A,Nome não encontrado
Tiamina,mg,"0,14","0,14",BRC0561A,Nome não encontrado
Riboflavina,mg,"0,04","0,04",BRC0561A,Nome não encontrado
Niacina,mg,"2,17","2,17",BRC0561A,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0561A,Nome não encontrado
Vitamina B12,mcg,"0,43","0,43",BRC0561A,Nome não encontrado
Vitamina C,mg,"6,50","6,50",BRC0561A,Nome não encontrado
Equivalente de folato,mcg,"42,4","42,4",BRC0561A,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0561A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0561A,Nome não encontrado
Gordura de adição,g,-,-,BRC0561A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0561A,Nome não encontrado
Proteína animal,g,-,-,BRC0561A,Nome não encontrado
