componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,544,326,244,BRC0255E,Nome não encontrado
Energia,kcal,130,77,58,BRC0255E,Nome não encontrado
Umidade,g,"73,6","44,1","33,1",BRC0255E,Nome não encontrado
Carboidrato total,g,"3,73","2,24","1,68",BRC0255E,Nome não encontrado
Carboidrato disponível,g,"2,34","1,40","1,05",BRC0255E,Nome não encontrado
Proteína,g,"15,3","9,16","6,87",BRC0255E,Nome não encontrado
Lipídios,g,"5,39","3,23","2,43",BRC0255E,Nome não encontrado
Fibra alimentar,g,"1,39","0,84","0,63",BRC0255E,Nome não encontrado
Álcool,g,"0,01","0,01","0,00",BRC0255E,Nome não encontrado
Cinzas,g,"2,01","1,20","0,90",BRC0255E,Nome não encontrado
Colesterol,mg,105,"63,2","47,4",BRC0255E,Nome não encontrado
Ácidos graxos saturados,g,"1,76","1,05","0,79",BRC0255E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,65","0,99","0,74",BRC0255E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,50","0,90","0,68",BRC0255E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0255E,Nome não encontrado
Cálcio,mg,"43,0","25,8","19,4",BRC0255E,Nome não encontrado
Ferro,mg,"10,1","6,06","4,55",BRC0255E,Nome não encontrado
Sódio,mg,351,210,158,BRC0255E,Nome não encontrado
Magnésio,mg,"27,3","16,4","12,3",BRC0255E,Nome não encontrado
Fósforo,mg,129,"77,9","58,4",BRC0255E,Nome não encontrado
Potássio,mg,230,138,103,BRC0255E,Nome não encontrado
Manganês,mg,"0,23","0,14","0,10",BRC0255E,Nome não encontrado
Zinco,mg,"1,62","0,97","0,73",BRC0255E,Nome não encontrado
Cobre,mg,"0,71","0,43","0,32",BRC0255E,Nome não encontrado
Selênio,mcg,"15,4","9,26","6,94",BRC0255E,Nome não encontrado
Vitamina A (RE),mcg,348,208,156,BRC0255E,Nome não encontrado
Vitamina A (RAE),mcg,218,130,"98,2",BRC0255E,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,01",BRC0255E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,94","0,56","0,42",BRC0255E,Nome não encontrado
Tiamina,mg,"0,08","0,05","0,03",BRC0255E,Nome não encontrado
Riboflavina,mg,"0,06","0,04","0,03",BRC0255E,Nome não encontrado
Niacina,mg,"1,45","0,87","0,65",BRC0255E,Nome não encontrado
Vitamina B6,mg,"0,14","0,08","0,06",BRC0255E,Nome não encontrado
Vitamina B12,mcg,"8,45","5,07","3,80",BRC0255E,Nome não encontrado
Vitamina C,mg,"11,7","7,03","5,27",BRC0255E,Nome não encontrado
Equivalente de folato,mcg,"21,9","13,1","9,84",BRC0255E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20",BRC0255E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0255E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0255E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0255E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0255E,Nome não encontrado
