componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 g),codigo_alimento,nome_alimento
Energia,kJ,1093,2185,BRC0010M,Nome não encontrado
Energia,kcal,262,524,BRC0010M,Nome não encontrado
Umidade,g,"53,3",106,BRC0010M,Nome não encontrado
Carboidrato total,g,"13,5","27,0",BRC0010M,Nome não encontrado
Carboidrato disponível,g,"11,9","23,8",BRC0010M,Nome não encontrado
Proteína,g,"14,5","28,9",BRC0010M,Nome não encontrado
Lipídios,g,"17,1","34,1",BRC0010M,Nome não encontrado
Fibra alimentar,g,"1,60","3,20",BRC0010M,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0010M,Nome não encontrado
Cinzas,g,"1,67","3,34",BRC0010M,Nome não encontrado
Colesterol,mg,"47,0","94,0",BRC0010M,Nome não encontrado
Ácidos graxos saturados,g,"7,00","14,0",BRC0010M,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,30","12,6",BRC0010M,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,99","5,97",BRC0010M,Nome não encontrado
Ácidos graxos trans,g,,,BRC0010M,Nome não encontrado
Cálcio,mg,"78,0",156,BRC0010M,Nome não encontrado
Ferro,mg,"5,30","10,6",BRC0010M,Nome não encontrado
Sódio,mg,387,774,BRC0010M,Nome não encontrado
Magnésio,mg,"19,0","38,0",BRC0010M,Nome não encontrado
Fósforo,mg,128,256,BRC0010M,Nome não encontrado
Potássio,mg,189,378,BRC0010M,Nome não encontrado
Manganês,mg,"0,14","0,28",BRC0010M,Nome não encontrado
Zinco,mg,"3,50","7,00",BRC0010M,Nome não encontrado
Cobre,mg,"0,08","0,16",BRC0010M,Nome não encontrado
Selênio,mcg,"17,0","34,0",BRC0010M,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0010M,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0010M,Nome não encontrado
Vitamina D,mcg,,,BRC0010M,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,12",BRC0010M,Nome não encontrado
Tiamina,mg,"0,27","0,53",BRC0010M,Nome não encontrado
Riboflavina,mg,"0,21","0,42",BRC0010M,Nome não encontrado
Niacina,mg,"3,00","6,00",BRC0010M,Nome não encontrado
Vitamina B6,mg,"0,11","0,22",BRC0010M,Nome não encontrado
Vitamina B12,mcg,,,BRC0010M,Nome não encontrado
Vitamina C,mg,"0,20","0,40",BRC0010M,Nome não encontrado
Equivalente de folato,mcg,"42,0","84,0",BRC0010M,Nome não encontrado
Sal de adição,g,,,BRC0010M,Nome não encontrado
Açúcar de adição,g,,,BRC0010M,Nome não encontrado
Gordura de adição,g,,,BRC0010M,Nome não encontrado
Proteína vegetal,g,,,BRC0010M,Nome não encontrado
Proteína animal,g,,,BRC0010M,Nome não encontrado
