componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,418,209,459,376,BRC0599A,Nome não encontrado
Energia,kcal,99,49,108,89,BRC0599A,Nome não encontrado
Umidade,g,"74,7","37,4","82,2","67,3",BRC0599A,Nome não encontrado
Carboidrato total,g,"20,0","9,99","22,0","18,0",BRC0599A,Nome não encontrado
Carboidrato disponível,g,"16,9","8,43","18,6","15,2",BRC0599A,Nome não encontrado
Proteína,g,"3,84","1,92","4,22","3,46",BRC0599A,Nome não encontrado
Lipídios,g,"1,12","0,56","1,23","1,00",BRC0599A,Nome não encontrado
Fibra alimentar,g,"3,11","1,55","3,42","2,80",BRC0599A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0599A,Nome não encontrado
Cinzas,g,"0,34","0,17","0,37","0,30",BRC0599A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0599A,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,11","0,25","0,21",BRC0599A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,10","0,22","0,18",BRC0599A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,28","0,62","0,51",BRC0599A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01","0,01",BRC0599A,Nome não encontrado
Cálcio,mg,"12,2","6,12","13,5","11,0",BRC0599A,Nome não encontrado
Ferro,mg,"0,41","0,21","0,45","0,37",BRC0599A,Nome não encontrado
Sódio,mg,"1,77","0,88","1,94","1,59",BRC0599A,Nome não encontrado
Magnésio,mg,"11,9","5,97","13,1","10,8",BRC0599A,Nome não encontrado
Fósforo,mg,"41,8","20,9","46,0","37,6",BRC0599A,Nome não encontrado
Potássio,mg,"81,4","40,7","89,5","73,2",BRC0599A,Nome não encontrado
Manganês,mg,"0,22","0,11","0,24","0,19",BRC0599A,Nome não encontrado
Zinco,mg,"0,34","0,17","0,37","0,30",BRC0599A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,07","0,06",BRC0599A,Nome não encontrado
Selênio,mcg,"1,89","0,95","2,08","1,70",BRC0599A,Nome não encontrado
Vitamina A (RE),mcg,"67,6","33,8","74,4","60,9",BRC0599A,Nome não encontrado
Vitamina A (RAE),mcg,"33,8","16,9","37,2","30,4",BRC0599A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0599A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,46","0,23","0,51","0,42",BRC0599A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,08","0,07",BRC0599A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,05","0,04",BRC0599A,Nome não encontrado
Niacina,mg,"1,47","0,74","1,62","1,32",BRC0599A,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,07","0,06",BRC0599A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0599A,Nome não encontrado
Vitamina C,mg,"17,3","8,64","19,0","15,6",BRC0599A,Nome não encontrado
Equivalente de folato,mcg,"20,8","10,4","22,9","18,7",BRC0599A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0599A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0599A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0599A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0599A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0599A,Nome não encontrado
