componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (55 g),codigo_alimento,nome_alimento
Energia,kJ,477,334,262,BRC0263E,Nome não encontrado
Energia,kcal,115,80,62,BRC0263E,Nome não encontrado
Umidade,g,"72,9","51,0","40,1",BRC0263E,Nome não encontrado
Carboidrato total,g,"13,5","9,48","7,45",BRC0263E,Nome não encontrado
Carboidrato disponível,g,"12,5","8,76","6,89",BRC0263E,Nome não encontrado
Proteína,g,"10,0","7,00","5,50",BRC0263E,Nome não encontrado
Lipídios,g,"2,48","1,74","1,37",BRC0263E,Nome não encontrado
Fibra alimentar,g,"1,03","0,72","0,56",BRC0263E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0263E,Nome não encontrado
Cinzas,g,"1,11","0,78","0,61",BRC0263E,Nome não encontrado
Colesterol,mg,"60,6","42,4","33,3",BRC0263E,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,33","0,26",BRC0263E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,35","0,27",BRC0263E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,17","0,82","0,64",BRC0263E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0263E,Nome não encontrado
Cálcio,mg,"30,7","21,5","16,9",BRC0263E,Nome não encontrado
Ferro,mg,"5,91","4,14","3,25",BRC0263E,Nome não encontrado
Sódio,mg,160,112,"88,3",BRC0263E,Nome não encontrado
Magnésio,mg,"27,1","19,0","14,9",BRC0263E,Nome não encontrado
Fósforo,mg,"91,1","63,7","50,1",BRC0263E,Nome não encontrado
Potássio,mg,179,125,"99,0",BRC0263E,Nome não encontrado
Manganês,mg,"0,75","0,53","0,41",BRC0263E,Nome não encontrado
Zinco,mg,"1,21","0,85","0,66",BRC0263E,Nome não encontrado
Cobre,mg,"0,49","0,34","0,27",BRC0263E,Nome não encontrado
Selênio,mcg,"9,64","6,75","5,30",BRC0263E,Nome não encontrado
Vitamina A (RE),mcg,"9,60","6,72","5,28",BRC0263E,Nome não encontrado
Vitamina A (RAE),mcg,"19,3","13,5","10,6",BRC0263E,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00",BRC0263E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,59","0,41","0,32",BRC0263E,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03",BRC0263E,Nome não encontrado
Riboflavina,mg,"0,04","0,03","0,02",BRC0263E,Nome não encontrado
Niacina,mg,"0,81","0,57","0,45",BRC0263E,Nome não encontrado
Vitamina B6,mg,"0,10","0,07","0,06",BRC0263E,Nome não encontrado
Vitamina B12,mcg,"4,96","3,47","2,73",BRC0263E,Nome não encontrado
Vitamina C,mg,"10,7","7,52","5,91",BRC0263E,Nome não encontrado
Equivalente de folato,mcg,"16,5","11,5","9,06",BRC0263E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0263E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0263E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0263E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0263E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0263E,Nome não encontrado
