componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (80 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,375,225,150,112,300,187,BRC0140B,Nome não encontrado
Energia,kcal,89,53,35,26,71,44,BRC0140B,Nome não encontrado
Umidade,g,"76,0","45,6","30,4","22,8","60,8","38,0",BRC0140B,Nome não encontrado
Carboidrato total,g,"20,3","12,2","8,12","6,09","16,2","10,2",BRC0140B,Nome não encontrado
Carboidrato disponível,g,"18,7","11,2","7,48","5,61","15,0","9,35",BRC0140B,Nome não encontrado
Proteína,g,"2,51","1,51","1,00","0,75","2,01","1,26",BRC0140B,Nome não encontrado
Lipídios,g,"0,05","0,03","0,02","0,02","0,04","0,03",BRC0140B,Nome não encontrado
Fibra alimentar,g,"1,62","0,97","0,65","0,49","1,30","0,81",BRC0140B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Cinzas,g,"1,05","0,63","0,42","0,32","0,84","0,53",BRC0140B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01","0,00","0,00","0,01","0,01",BRC0140B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,traços,traços,BRC0140B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01","0,01","0,01","0,02","0,01",BRC0140B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Cálcio,mg,"4,65","2,79","1,86","1,40","3,72","2,33",BRC0140B,Nome não encontrado
Ferro,mg,"0,50","0,30","0,20","0,15","0,40","0,25",BRC0140B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,BRC0140B,Nome não encontrado
Magnésio,mg,"18,5","11,1","7,40","5,55","14,8","9,25",BRC0140B,Nome não encontrado
Fósforo,mg,"54,0","32,4","21,6","16,2","43,2","27,0",BRC0140B,Nome não encontrado
Potássio,mg,547,328,218,164,437,273,BRC0140B,Nome não encontrado
Manganês,mg,"0,14","0,08","0,06","0,04","0,11","0,07",BRC0140B,Nome não encontrado
Zinco,mg,"0,33","0,20","0,13","0,10","0,26","0,17",BRC0140B,Nome não encontrado
Cobre,mg,"0,14","0,08","0,06","0,04","0,11","0,07",BRC0140B,Nome não encontrado
Selênio,mcg,"0,37","0,22","0,15","0,11","0,30","0,19",BRC0140B,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,traços,traços,BRC0140B,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,traços,BRC0140B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,00","0,00","0,01","0,01",BRC0140B,Nome não encontrado
Tiamina,mg,"0,14","0,08","0,06","0,04","0,11","0,07",BRC0140B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0140B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0140B,Nome não encontrado
Vitamina B6,mg,"0,19","0,11","0,08","0,06","0,15","0,10",BRC0140B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Vitamina C,mg,"39,2","23,5","15,7","11,8","31,4","19,6",BRC0140B,Nome não encontrado
Equivalente de folato,mcg,"15,6","9,36","6,24","4,68","12,5","7,80",BRC0140B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
Proteína vegetal,g,"2,51","1,51","1,00","0,75","2,01","1,26",BRC0140B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140B,Nome não encontrado
