componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,169,33,219,BRC0738B,Nome não encontrado
Energia,kcal,40,8,52,BRC0738B,Nome não encontrado
Umidade,g,"88,7","17,7",115,BRC0738B,Nome não encontrado
Carboidrato total,g,"7,14","1,43","9,28",BRC0738B,Nome não encontrado
Carboidrato disponível,g,"5,04","1,01","6,55",BRC0738B,Nome não encontrado
Proteína,g,"1,95","0,39","2,54",BRC0738B,Nome não encontrado
Lipídios,g,"0,90","0,18","1,16",BRC0738B,Nome não encontrado
Fibra alimentar,g,"2,10","0,42","2,73",BRC0738B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0738B,Nome não encontrado
Cinzas,g,"1,27","0,25","1,65",BRC0738B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0738B,Nome não encontrado
Ácidos graxos saturados,g,"0,13","0,03","0,16",BRC0738B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,19","0,04","0,25",BRC0738B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,51","0,10","0,67",BRC0738B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0738B,Nome não encontrado
Cálcio,mg,"20,4","4,08","26,5",BRC0738B,Nome não encontrado
Ferro,mg,"1,21","0,24","1,57",BRC0738B,Nome não encontrado
Sódio,mg,209,"41,8",271,BRC0738B,Nome não encontrado
Magnésio,mg,"19,1","3,83","24,9",BRC0738B,Nome não encontrado
Fósforo,mg,"33,6","6,72","43,7",BRC0738B,Nome não encontrado
Potássio,mg,171,"34,2",222,BRC0738B,Nome não encontrado
Manganês,mg,"0,72","0,14","0,94",BRC0738B,Nome não encontrado
Zinco,mg,"0,72","0,14","0,93",BRC0738B,Nome não encontrado
Cobre,mg,"0,17","0,03","0,22",BRC0738B,Nome não encontrado
Selênio,mcg,"0,16","0,03","0,20",BRC0738B,Nome não encontrado
Vitamina A (RE),mcg,143,"28,7",186,BRC0738B,Nome não encontrado
Vitamina A (RAE),mcg,"72,1","14,4","93,7",BRC0738B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0738B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,42","0,08","0,54",BRC0738B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,06",BRC0738B,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,02",BRC0738B,Nome não encontrado
Niacina,mg,"0,38","0,08","0,49",BRC0738B,Nome não encontrado
Vitamina B6,mg,"0,06","0,01","0,07",BRC0738B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0738B,Nome não encontrado
Vitamina C,mg,"2,80","0,56","3,64",BRC0738B,Nome não encontrado
Equivalente de folato,mcg,"25,7","5,14","33,4",BRC0738B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0738B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0738B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0738B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0738B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0738B,Nome não encontrado
