componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,508,177,86,711,406,BRC0196T,Nome não encontrado
Energia,kcal,122,42,20,170,97,BRC0196T,Nome não encontrado
Umidade,g,"70,2","24,6","11,9","98,2","56,1",BRC0196T,Nome não encontrado
Carboidrato total,g,"11,1","3,87","1,88","15,5","8,84",BRC0196T,Nome não encontrado
Carboidrato disponível,g,"5,05","1,77","0,86","7,07","4,04",BRC0196T,Nome não encontrado
Proteína,g,"12,4","4,33","2,10","17,3","9,89",BRC0196T,Nome não encontrado
Lipídios,g,"4,44","1,55","0,75","6,22","3,55",BRC0196T,Nome não encontrado
Fibra alimentar,g,"6,00","2,10","1,02","8,40","4,80",BRC0196T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0196T,Nome não encontrado
Cinzas,g,"1,98","0,69","0,34","2,77","1,58",BRC0196T,Nome não encontrado
Colesterol,mg,"28,4","9,93","4,82","39,7","22,7",BRC0196T,Nome não encontrado
Ácidos graxos saturados,g,"1,44","0,50","0,24","2,02","1,15",BRC0196T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,67","0,58","0,28","2,34","1,34",BRC0196T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,96","0,34","0,16","1,34","0,77",BRC0196T,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,04","0,02","0,15","0,09",BRC0196T,Nome não encontrado
Cálcio,mg,"24,9","8,71","4,23","34,8","19,9",BRC0196T,Nome não encontrado
Ferro,mg,"1,91","0,67","0,32","2,67","1,53",BRC0196T,Nome não encontrado
Sódio,mg,561,196,"95,5",786,449,BRC0196T,Nome não encontrado
Magnésio,mg,"32,2","11,3","5,48","45,1","25,8",BRC0196T,Nome não encontrado
Fósforo,mg,"90,2","31,6","15,3",126,"72,1",BRC0196T,Nome não encontrado
Potássio,mg,215,"75,5","36,7",301,172,BRC0196T,Nome não encontrado
Manganês,mg,"0,27","0,09","0,05","0,38","0,22",BRC0196T,Nome não encontrado
Zinco,mg,"2,83","0,99","0,48","3,96","2,26",BRC0196T,Nome não encontrado
Cobre,mg,"0,42","0,15","0,07","0,59","0,34",BRC0196T,Nome não encontrado
Selênio,mcg,"1,93","0,68","0,33","2,70","1,54",BRC0196T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,traços,BRC0196T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,BRC0196T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0196T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,73","0,26","0,12","1,02","0,58",BRC0196T,Nome não encontrado
Tiamina,mg,"0,06","0,02","0,01","0,08","0,05",BRC0196T,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,00","0,03","0,02",BRC0196T,Nome não encontrado
Niacina,mg,"0,38","0,13","0,06","0,53","0,30",BRC0196T,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00",BRC0196T,Nome não encontrado
Vitamina B12,mcg,"0,47","0,16","0,08","0,66","0,38",BRC0196T,Nome não encontrado
Vitamina C,mg,"0,40","0,14","0,07","0,56","0,32",BRC0196T,Nome não encontrado
Equivalente de folato,mcg,"63,8","22,3","10,8","89,3","51,0",BRC0196T,Nome não encontrado
Sal de adição,g,"0,45","0,16","0,08","0,63","0,36",BRC0196T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0196T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0196T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0196T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0196T,Nome não encontrado
