componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,1208,604,BRC0954A,Nome não encontrado
Energia,kcal,286,143,BRC0954A,Nome não encontrado
Umidade,g,"32,5","16,3",BRC0954A,Nome não encontrado
Carboidrato total,g,"51,3","25,7",BRC0954A,Nome não encontrado
Carboidrato disponível,g,"49,1","24,5",BRC0954A,Nome não encontrado
Proteína,g,"8,18","4,09",BRC0954A,Nome não encontrado
Lipídios,g,"5,91","2,95",BRC0954A,Nome não encontrado
Fibra alimentar,g,"2,24","1,12",BRC0954A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0954A,Nome não encontrado
Cinzas,g,"2,07","1,04",BRC0954A,Nome não encontrado
Colesterol,mg,"5,84","2,92",BRC0954A,Nome não encontrado
Ácidos graxos saturados,g,"1,11","0,56",BRC0954A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,37","0,69",BRC0954A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,51","1,25",BRC0954A,Nome não encontrado
Ácidos graxos trans,g,"0,23","0,11",BRC0954A,Nome não encontrado
Cálcio,mg,"16,9","8,45",BRC0954A,Nome não encontrado
Ferro,mg,"3,57","1,79",BRC0954A,Nome não encontrado
Sódio,mg,753,376,BRC0954A,Nome não encontrado
Magnésio,mg,"21,4","10,7",BRC0954A,Nome não encontrado
Fósforo,mg,"87,6","43,8",BRC0954A,Nome não encontrado
Potássio,mg,154,"77,0",BRC0954A,Nome não encontrado
Manganês,mg,"0,43","0,22",BRC0954A,Nome não encontrado
Zinco,mg,"0,72","0,36",BRC0954A,Nome não encontrado
Cobre,mg,"0,12","0,06",BRC0954A,Nome não encontrado
Selênio,mcg,"6,24","3,12",BRC0954A,Nome não encontrado
Vitamina A (RE),mcg,"14,3","7,17",BRC0954A,Nome não encontrado
Vitamina A (RAE),mcg,"8,54","4,27",BRC0954A,Nome não encontrado
Vitamina D,mcg,"0,01","0,01",BRC0954A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,38","0,19",BRC0954A,Nome não encontrado
Tiamina,mg,"0,33","0,17",BRC0954A,Nome não encontrado
Riboflavina,mg,"0,57","0,29",BRC0954A,Nome não encontrado
Niacina,mg,"1,99","1,00",BRC0954A,Nome não encontrado
Vitamina B6,mg,"0,53","0,26",BRC0954A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00",BRC0954A,Nome não encontrado
Vitamina C,mg,"1,40","0,70",BRC0954A,Nome não encontrado
Equivalente de folato,mcg,122,"61,1",BRC0954A,Nome não encontrado
Sal de adição,g,"0,25","0,13",BRC0954A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0954A,Nome não encontrado
Gordura de adição,g,-,-,BRC0954A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0954A,Nome não encontrado
Proteína animal,g,-,-,BRC0954A,Nome não encontrado
