componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,984,787,BRC0300A,Nome não encontrado
Energia,kcal,233,186,BRC0300A,Nome não encontrado
Umidade,g,"42,9","34,3",BRC0300A,Nome não encontrado
Carboidrato total,g,"39,4","31,5",BRC0300A,Nome não encontrado
Carboidrato disponível,g,"37,8","30,2",BRC0300A,Nome não encontrado
Proteína,g,"11,8","9,44",BRC0300A,Nome não encontrado
Lipídios,g,"3,46","2,77",BRC0300A,Nome não encontrado
Fibra alimentar,g,"1,63","1,30",BRC0300A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0300A,Nome não encontrado
Cinzas,g,"2,43","1,94",BRC0300A,Nome não encontrado
Colesterol,mg,"14,1","11,3",BRC0300A,Nome não encontrado
Ácidos graxos saturados,g,"0,95","0,76",BRC0300A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,08","0,86",BRC0300A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,46",BRC0300A,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,13",BRC0300A,Nome não encontrado
Cálcio,mg,"14,8","11,9",BRC0300A,Nome não encontrado
Ferro,mg,"2,96","2,37",BRC0300A,Nome não encontrado
Sódio,mg,876,701,BRC0300A,Nome não encontrado
Magnésio,mg,"23,1","18,5",BRC0300A,Nome não encontrado
Fósforo,mg,178,142,BRC0300A,Nome não encontrado
Potássio,mg,217,174,BRC0300A,Nome não encontrado
Manganês,mg,"0,39","0,31",BRC0300A,Nome não encontrado
Zinco,mg,"1,20","0,96",BRC0300A,Nome não encontrado
Cobre,mg,"0,12","0,09",BRC0300A,Nome não encontrado
Selênio,mcg,"7,26","5,81",BRC0300A,Nome não encontrado
Vitamina A (RE),mcg,"1,28","1,02",BRC0300A,Nome não encontrado
Vitamina A (RAE),mcg,"1,28","1,02",BRC0300A,Nome não encontrado
Vitamina D,mcg,"0,17","0,14",BRC0300A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,11",BRC0300A,Nome não encontrado
Tiamina,mg,"0,25","0,20",BRC0300A,Nome não encontrado
Riboflavina,mg,"0,45","0,36",BRC0300A,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0300A,Nome não encontrado
Vitamina B6,mg,"0,40","0,32",BRC0300A,Nome não encontrado
Vitamina B12,mcg,"0,13","0,10",BRC0300A,Nome não encontrado
Vitamina C,mg,"1,22","0,98",BRC0300A,Nome não encontrado
Equivalente de folato,mcg,"95,6","76,5",BRC0300A,Nome não encontrado
Sal de adição,g,,,BRC0300A,Nome não encontrado
Açúcar de adição,g,,,BRC0300A,Nome não encontrado
Gordura de adição,g,-,-,BRC0300A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0300A,Nome não encontrado
Proteína animal,g,-,-,BRC0300A,Nome não encontrado
