componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,273,654,450,BRC0046T,Nome não encontrado
Energia,kcal,65,155,106,BRC0046T,Nome não encontrado
Umidade,g,"84,9",203,140,BRC0046T,Nome não encontrado
Carboidrato total,g,"12,1","29,1","20,0",BRC0046T,Nome não encontrado
Carboidrato disponível,g,"11,8","28,3","19,4",BRC0046T,Nome não encontrado
Proteína,g,"1,50","3,60","2,48",BRC0046T,Nome não encontrado
Lipídios,g,"1,20","2,88","1,98",BRC0046T,Nome não encontrado
Fibra alimentar,g,"0,34","0,82","0,56",BRC0046T,Nome não encontrado
Álcool,g,,,,BRC0046T,Nome não encontrado
Cinzas,g,"0,26","0,62","0,43",BRC0046T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Ácidos graxos saturados,g,"0,15","0,36","0,25",BRC0046T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,22","0,54","0,37",BRC0046T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,45","1,08","0,74",BRC0046T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,01",BRC0046T,Nome não encontrado
Cálcio,mg,"28,6","68,6","47,2",BRC0046T,Nome não encontrado
Ferro,mg,"0,75","1,80","1,24",BRC0046T,Nome não encontrado
Sódio,mg,"97,8",234,161,BRC0046T,Nome não encontrado
Magnésio,mg,"26,7","64,2","44,1",BRC0046T,Nome não encontrado
Fósforo,mg,"91,5",219,150,BRC0046T,Nome não encontrado
Potássio,mg,209,502,345,BRC0046T,Nome não encontrado
Manganês,mg,"0,25","0,61","0,42",BRC0046T,Nome não encontrado
Zinco,mg,"0,48","1,15","0,79",BRC0046T,Nome não encontrado
Cobre,mg,"0,14","0,35","0,24",BRC0046T,Nome não encontrado
Selênio,mcg,,,,BRC0046T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0046T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0046T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0046T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0046T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0046T,Nome não encontrado
Equivalente de folato,mcg,"45,5",109,"75,0",BRC0046T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Açúcar de adição,g,,,,BRC0046T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0046T,Nome não encontrado
Proteína vegetal,g,"1,50","3,60","2,48",BRC0046T,Nome não encontrado
Proteína animal,g,,"0,00","0,00",BRC0046T,Nome não encontrado
