componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,253,88,43,354,202,BRC0012T,Nome não encontrado
Energia,kcal,60,21,10,84,48,BRC0012T,Nome não encontrado
Umidade,g,"82,6","28,9","14,0",115,"66,1",BRC0012T,Nome não encontrado
Carboidrato total,g,"11,8","4,14","2,01","16,6","9,46",BRC0012T,Nome não encontrado
Carboidrato disponível,g,"7,06","2,47","1,20","9,89","5,65",BRC0012T,Nome não encontrado
Proteína,g,"4,54","1,59","0,77","6,36","3,63",BRC0012T,Nome não encontrado
Lipídios,g,"0,48","0,17","0,08","0,67","0,38",BRC0012T,Nome não encontrado
Fibra alimentar,g,"4,76","1,67","0,81","6,66","3,81",BRC0012T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Cinzas,g,"0,58","0,20","0,10","0,81","0,46",BRC0012T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,07","0,03","0,28","0,16",BRC0012T,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,traços,BRC0012T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,07","0,03","0,28","0,16",BRC0012T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Cálcio,mg,"19,2","6,74","3,27","26,9","15,4",BRC0012T,Nome não encontrado
Ferro,mg,"1,18","0,41","0,20","1,66","0,95",BRC0012T,Nome não encontrado
Sódio,mg,"2,08","0,73","0,35","2,91","1,66",BRC0012T,Nome não encontrado
Magnésio,mg,"43,0","15,0","7,30","60,1","34,4",BRC0012T,Nome não encontrado
Fósforo,mg,"89,5","31,3","15,2",125,"71,6",BRC0012T,Nome não encontrado
Potássio,mg,240,"84,2","40,9",336,192,BRC0012T,Nome não encontrado
Manganês,mg,"0,46","0,16","0,08","0,65","0,37",BRC0012T,Nome não encontrado
Zinco,mg,"1,31","0,46","0,22","1,83","1,04",BRC0012T,Nome não encontrado
Cobre,mg,"0,09","0,03","0,02","0,13","0,07",BRC0012T,Nome não encontrado
Selênio,mcg,"0,02","0,01","0,00","0,03","0,02",BRC0012T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0012T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,BRC0012T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,69","0,24","0,12","0,97","0,55",BRC0012T,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0012T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0012T,Nome não encontrado
Niacina,mg,"3,69","1,29","0,63","5,17","2,95",BRC0012T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0012T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0012T,Nome não encontrado
Equivalente de folato,mcg,"80,9","28,3","13,7",113,"64,7",BRC0012T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
Proteína vegetal,g,"4,54","1,59","0,77","6,36","3,63",BRC0012T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0012T,Nome não encontrado
