componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,509,305,203,BRC0908B,Nome não encontrado
Energia,kcal,120,71,47,BRC0908B,Nome não encontrado
Umidade,g,"68,7","41,2","27,5",BRC0908B,Nome não encontrado
Carboidrato total,g,"29,7","17,8","11,9",BRC0908B,Nome não encontrado
Carboidrato disponível,g,"27,9","16,8","11,2",BRC0908B,Nome não encontrado
Proteína,g,"0,64","0,38","0,25",BRC0908B,Nome não encontrado
Lipídios,g,"0,24","0,14","0,10",BRC0908B,Nome não encontrado
Fibra alimentar,g,"1,77","1,06","0,71",BRC0908B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Cinzas,g,"0,75","0,45","0,30",BRC0908B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,05","0,03",BRC0908B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,08","0,05","0,03",BRC0908B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,05","0,03",BRC0908B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Cálcio,mg,"18,5","11,1","7,41",BRC0908B,Nome não encontrado
Ferro,mg,"0,08","0,05","0,03",BRC0908B,Nome não encontrado
Sódio,mg,128,"77,2","51,5",BRC0908B,Nome não encontrado
Magnésio,mg,"26,6","15,9","10,6",BRC0908B,Nome não encontrado
Fósforo,mg,"22,2","13,3","8,88",BRC0908B,Nome não encontrado
Potássio,mg,"99,4","59,6","39,8",BRC0908B,Nome não encontrado
Manganês,mg,"0,06","0,04","0,03",BRC0908B,Nome não encontrado
Zinco,mg,"0,17","0,10","0,07",BRC0908B,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01",BRC0908B,Nome não encontrado
Selênio,mcg,"0,49","0,29","0,19",BRC0908B,Nome não encontrado
Vitamina A (RE),mcg,"10,1","6,09","4,06",BRC0908B,Nome não encontrado
Vitamina A (RAE),mcg,"5,07","3,04","2,03",BRC0908B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,10","0,06",BRC0908B,Nome não encontrado
Tiamina,mg,"0,06","0,04","0,02",BRC0908B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0908B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Vitamina C,mg,"11,0","6,57","4,38",BRC0908B,Nome não encontrado
Equivalente de folato,mcg,"10,4","6,23","4,15",BRC0908B,Nome não encontrado
Sal de adição,g,"0,32","0,19","0,13",BRC0908B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0908B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0908B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0908B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0908B,Nome não encontrado
