componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,2393,598,BRC0040L,Nome não encontrado
Energia,kcal,582,145,BRC0040L,Nome não encontrado
Umidade,g,"30,9","7,73",BRC0040L,Nome não encontrado
Carboidrato total,g,"1,51","0,38",BRC0040L,Nome não encontrado
Carboidrato disponível,g,"1,36","0,34",BRC0040L,Nome não encontrado
Proteína,g,"5,35","1,34",BRC0040L,Nome não encontrado
Lipídios,g,"61,7","15,4",BRC0040L,Nome não encontrado
Fibra alimentar,g,"0,15","0,04",BRC0040L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0040L,Nome não encontrado
Cinzas,g,"0,62","0,16",BRC0040L,Nome não encontrado
Colesterol,mg,530,132,BRC0040L,Nome não encontrado
Ácidos graxos saturados,g,"34,0","8,50",BRC0040L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"17,0","4,26",BRC0040L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,17","0,54",BRC0040L,Nome não encontrado
Ácidos graxos trans,g,"1,73","0,43",BRC0040L,Nome não encontrado
Cálcio,mg,"43,2","10,8",BRC0040L,Nome não encontrado
Ferro,mg,"0,96","0,24",BRC0040L,Nome não encontrado
Sódio,mg,"16,6","4,15",BRC0040L,Nome não encontrado
Magnésio,mg,"4,94","1,23",BRC0040L,Nome não encontrado
Fósforo,mg,128,"32,0",BRC0040L,Nome não encontrado
Potássio,mg,"40,8","10,2",BRC0040L,Nome não encontrado
Manganês,mg,"0,05","0,01",BRC0040L,Nome não encontrado
Zinco,mg,"0,93","0,23",BRC0040L,Nome não encontrado
Cobre,mg,"0,03","0,01",BRC0040L,Nome não encontrado
Selênio,mcg,"11,4","2,85",BRC0040L,Nome não encontrado
Vitamina A (RE),mcg,776,194,BRC0040L,Nome não encontrado
Vitamina A (RAE),mcg,766,191,BRC0040L,Nome não encontrado
Vitamina D,mcg,"1,97","0,49",BRC0040L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,74","1,18",BRC0040L,Nome não encontrado
Tiamina,mg,"0,08","0,02",BRC0040L,Nome não encontrado
Riboflavina,mg,"0,07","0,02",BRC0040L,Nome não encontrado
Niacina,mg,traços,traços,BRC0040L,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0040L,Nome não encontrado
Vitamina B12,mcg,"0,72","0,18",BRC0040L,Nome não encontrado
Vitamina C,mg,"2,86","0,72",BRC0040L,Nome não encontrado
Equivalente de folato,mcg,"48,6","12,2",BRC0040L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0040L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0040L,Nome não encontrado
Gordura de adição,g,-,-,BRC0040L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0040L,Nome não encontrado
Proteína animal,g,-,-,BRC0040L,Nome não encontrado
