componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,213,277,BRC0912F,Nome não encontrado
Energia,kcal,51,66,BRC0912F,Nome não encontrado
Umidade,g,"90,4",117,BRC0912F,Nome não encontrado
Carboidrato total,g,"1,12","1,46",BRC0912F,Nome não encontrado
Carboidrato disponível,g,"0,86","1,11",BRC0912F,Nome não encontrado
Proteína,g,"4,56","5,92",BRC0912F,Nome não encontrado
Lipídios,g,"3,22","4,18",BRC0912F,Nome não encontrado
Fibra alimentar,g,"0,27","0,35",BRC0912F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0912F,Nome não encontrado
Cinzas,g,"0,70","0,91",BRC0912F,Nome não encontrado
Colesterol,mg,"21,3","27,7",BRC0912F,Nome não encontrado
Ácidos graxos saturados,g,"0,87","1,13",BRC0912F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,60","2,07",BRC0912F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,41",BRC0912F,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0912F,Nome não encontrado
Cálcio,mg,"5,56","7,23",BRC0912F,Nome não encontrado
Ferro,mg,"0,28","0,36",BRC0912F,Nome não encontrado
Sódio,mg,195,253,BRC0912F,Nome não encontrado
Magnésio,mg,"2,62","3,40",BRC0912F,Nome não encontrado
Fósforo,mg,"21,5","27,9",BRC0912F,Nome não encontrado
Potássio,mg,"37,8","49,1",BRC0912F,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0912F,Nome não encontrado
Zinco,mg,"0,24","0,31",BRC0912F,Nome não encontrado
Cobre,mg,"0,03","0,04",BRC0912F,Nome não encontrado
Selênio,mcg,"4,66","6,05",BRC0912F,Nome não encontrado
Vitamina A (RE),mcg,"45,0","58,5",BRC0912F,Nome não encontrado
Vitamina A (RAE),mcg,"22,5","29,3",BRC0912F,Nome não encontrado
Vitamina D,mcg,,,BRC0912F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,13",BRC0912F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0912F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0912F,Nome não encontrado
Niacina,mg,"0,21","0,27",BRC0912F,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0912F,Nome não encontrado
Vitamina B12,mcg,"0,08","0,11",BRC0912F,Nome não encontrado
Vitamina C,mg,"0,55","0,71",BRC0912F,Nome não encontrado
Equivalente de folato,mcg,"3,08","4,00",BRC0912F,Nome não encontrado
Sal de adição,g,"0,45","0,59",BRC0912F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0912F,Nome não encontrado
Gordura de adição,g,-,-,BRC0912F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0912F,Nome não encontrado
Proteína animal,g,-,-,BRC0912F,Nome não encontrado
