componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,496,247,123,545,446,BRC0942A,Nome não encontrado
Energia,kcal,118,59,29,129,106,BRC0942A,Nome não encontrado
Umidade,g,"74,0","37,0","18,5","81,4","66,6",BRC0942A,Nome não encontrado
Carboidrato total,g,"12,2","6,12","3,06","13,5","11,0",BRC0942A,Nome não encontrado
Carboidrato disponível,g,"10,9","5,46","2,73","12,0","9,83",BRC0942A,Nome não encontrado
Proteína,g,"8,34","4,17","2,09","9,18","7,51",BRC0942A,Nome não encontrado
Lipídios,g,"4,22","2,11","1,05","4,64","3,80",BRC0942A,Nome não encontrado
Fibra alimentar,g,"1,32","0,66","0,33","1,45","1,19",BRC0942A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0942A,Nome não encontrado
Cinzas,g,"1,12","0,56","0,28","1,23","1,00",BRC0942A,Nome não encontrado
Colesterol,mg,"16,8","8,42","4,21","18,5","15,1",BRC0942A,Nome não encontrado
Ácidos graxos saturados,g,"1,19","0,60","0,30","1,31","1,07",BRC0942A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,49","0,74","0,37","1,64","1,34",BRC0942A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,91","0,45","0,23","1,00","0,82",BRC0942A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,02","0,01","0,05","0,04",BRC0942A,Nome não encontrado
Cálcio,mg,"11,5","5,73","2,86","12,6","10,3",BRC0942A,Nome não encontrado
Ferro,mg,"0,78","0,39","0,20","0,86","0,70",BRC0942A,Nome não encontrado
Sódio,mg,221,110,"55,4",243,199,BRC0942A,Nome não encontrado
Magnésio,mg,"8,51","4,26","2,13","9,36","7,66",BRC0942A,Nome não encontrado
Fósforo,mg,"61,0","30,5","15,3","67,1","54,9",BRC0942A,Nome não encontrado
Potássio,mg,119,"59,9","30,0",131,107,BRC0942A,Nome não encontrado
Manganês,mg,"0,04","0,02","0,01","0,05","0,04",BRC0942A,Nome não encontrado
Zinco,mg,"1,16","0,58","0,29","1,27","1,04",BRC0942A,Nome não encontrado
Cobre,mg,"0,09","0,04","0,02","0,10","0,08",BRC0942A,Nome não encontrado
Selênio,mcg,"3,43","1,71","0,86","3,77","3,08",BRC0942A,Nome não encontrado
Vitamina A (RE),mcg,"61,8","30,9","15,4","68,0","55,6",BRC0942A,Nome não encontrado
Vitamina A (RAE),mcg,"32,0","16,0","8,01","35,2","28,8",BRC0942A,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00","0,01","0,01",BRC0942A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,19","0,10","0,42","0,35",BRC0942A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,04","0,03",BRC0942A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,02","0,02",BRC0942A,Nome não encontrado
Niacina,mg,"1,20","0,60","0,30","1,32","1,08",BRC0942A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01","0,03","0,03",BRC0942A,Nome não encontrado
Vitamina B12,mcg,"0,36","0,18","0,09","0,39","0,32",BRC0942A,Nome não encontrado
Vitamina C,mg,"9,51","4,76","2,38","10,5","8,56",BRC0942A,Nome não encontrado
Equivalente de folato,mcg,"10,8","5,42","2,71","11,9","9,75",BRC0942A,Nome não encontrado
Sal de adição,g,,traços,,,,BRC0942A,Nome não encontrado
Açúcar de adição,g,,traços,,,,BRC0942A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0942A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0942A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0942A,Nome não encontrado
