componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,144,78,43,BRC0133B,Nome não encontrado
Energia,kcal,34,18,10,BRC0133B,Nome não encontrado
Umidade,g,"90,0","49,5","27,0",BRC0133B,Nome não encontrado
Carboidrato total,g,"7,10","3,91","2,13",BRC0133B,Nome não encontrado
Carboidrato disponível,g,"4,58","2,52","1,37",BRC0133B,Nome não encontrado
Proteína,g,"2,01","1,10","0,60",BRC0133B,Nome não encontrado
Lipídios,g,"0,31","0,17","0,09",BRC0133B,Nome não encontrado
Fibra alimentar,g,"2,51","1,38","0,75",BRC0133B,Nome não encontrado
Álcool,g,,,,BRC0133B,Nome não encontrado
Cinzas,g,"0,61","0,34","0,18",BRC0133B,Nome não encontrado
Colesterol,mg,,,,BRC0133B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,03","0,02",BRC0133B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0133B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,09","0,05",BRC0133B,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0133B,Nome não encontrado
Cálcio,mg,"32,9","18,1","9,87",BRC0133B,Nome não encontrado
Ferro,mg,"0,44","0,24","0,13",BRC0133B,Nome não encontrado
Sódio,mg,"2,51","1,38","0,75",BRC0133B,Nome não encontrado
Magnésio,mg,"18,6","10,2","5,57",BRC0133B,Nome não encontrado
Fósforo,mg,"44,8","24,6","13,4",BRC0133B,Nome não encontrado
Potássio,mg,244,134,"73,3",BRC0133B,Nome não encontrado
Manganês,mg,"0,24","0,13","0,07",BRC0133B,Nome não encontrado
Zinco,mg,"0,30","0,17","0,09",BRC0133B,Nome não encontrado
Cobre,mg,"0,17","0,09","0,05",BRC0133B,Nome não encontrado
Selênio,mcg,,,,BRC0133B,Nome não encontrado
Vitamina A (RE),mcg,510,280,153,BRC0133B,Nome não encontrado
Vitamina A (RAE),mcg,255,140,"76,5",BRC0133B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0133B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,20","0,11",BRC0133B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02",BRC0133B,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,01",BRC0133B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0133B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0133B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0133B,Nome não encontrado
Vitamina C,mg,"29,4","16,1","8,81",BRC0133B,Nome não encontrado
Equivalente de folato,mcg,"23,5","12,9","7,06",BRC0133B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0133B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0133B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0133B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0133B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0133B,Nome não encontrado
