componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,57,22,14,BRC0320B,Nome não encontrado
Energia,kcal,14,5,3,BRC0320B,Nome não encontrado
Umidade,g,"95,1","38,0","23,8",BRC0320B,Nome não encontrado
Carboidrato total,g,"3,00","1,20","0,75",BRC0320B,Nome não encontrado
Carboidrato disponível,g,"1,20","0,48","0,30",BRC0320B,Nome não encontrado
Proteína,g,"1,13","0,45","0,28",BRC0320B,Nome não encontrado
Lipídios,g,"0,08","0,03","0,02",BRC0320B,Nome não encontrado
Fibra alimentar,g,"1,81","0,72","0,45",BRC0320B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Cinzas,g,"0,71","0,28","0,18",BRC0320B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,01",BRC0320B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01","0,00",BRC0320B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,01","0,01",BRC0320B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Cálcio,mg,"19,6","7,84","4,90",BRC0320B,Nome não encontrado
Ferro,mg,"0,26","0,10","0,07",BRC0320B,Nome não encontrado
Sódio,mg,"6,02","2,41","1,50",BRC0320B,Nome não encontrado
Magnésio,mg,"5,34","2,14","1,34",BRC0320B,Nome não encontrado
Fósforo,mg,"22,4","8,95","5,59",BRC0320B,Nome não encontrado
Potássio,mg,146,"58,7","36,7",BRC0320B,Nome não encontrado
Manganês,mg,"0,06","0,03","0,02",BRC0320B,Nome não encontrado
Zinco,mg,"0,14","0,05","0,03",BRC0320B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00",BRC0320B,Nome não encontrado
Selênio,mcg,"0,09","0,04","0,02",BRC0320B,Nome não encontrado
Vitamina A (RE),mcg,"0,46","0,18","0,12",BRC0320B,Nome não encontrado
Vitamina A (RAE),mcg,"0,23","0,09","0,06",BRC0320B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01",BRC0320B,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0320B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0320B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0320B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Vitamina C,mg,"3,84","1,53","0,96",BRC0320B,Nome não encontrado
Equivalente de folato,mcg,"13,0","5,19","3,25",BRC0320B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
Proteína vegetal,g,"1,13","0,45","0,28",BRC0320B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0320B,Nome não encontrado
