componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,412,226,BRC0458N,Nome não encontrado
Energia,kcal,98,54,BRC0458N,Nome não encontrado
Umidade,g,"78,9","43,4",BRC0458N,Nome não encontrado
Carboidrato total,g,"5,46","3,00",BRC0458N,Nome não encontrado
Carboidrato disponível,g,"4,15","2,28",BRC0458N,Nome não encontrado
Proteína,g,"10,8","5,92",BRC0458N,Nome não encontrado
Lipídios,g,"4,01","2,20",BRC0458N,Nome não encontrado
Fibra alimentar,g,"1,32","0,72",BRC0458N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0458N,Nome não encontrado
Cinzas,g,"0,83","0,46",BRC0458N,Nome não encontrado
Colesterol,mg,"37,8","20,8",BRC0458N,Nome não encontrado
Ácidos graxos saturados,g,"1,98","1,09",BRC0458N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,32","0,73",BRC0458N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,17","0,09",BRC0458N,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,07",BRC0458N,Nome não encontrado
Cálcio,mg,"16,7","9,17",BRC0458N,Nome não encontrado
Ferro,mg,"1,06","0,58",BRC0458N,Nome não encontrado
Sódio,mg,120,"66,5",BRC0458N,Nome não encontrado
Magnésio,mg,"12,2","6,70",BRC0458N,Nome não encontrado
Fósforo,mg,"74,5","41,0",BRC0458N,Nome não encontrado
Potássio,mg,184,101,BRC0458N,Nome não encontrado
Manganês,mg,"0,04","0,02",BRC0458N,Nome não encontrado
Zinco,mg,"2,96","1,63",BRC0458N,Nome não encontrado
Cobre,mg,"0,07","0,04",BRC0458N,Nome não encontrado
Selênio,mcg,"0,18","0,10",BRC0458N,Nome não encontrado
Vitamina A (RE),mcg,"90,5","49,8",BRC0458N,Nome não encontrado
Vitamina A (RAE),mcg,"45,5","25,0",BRC0458N,Nome não encontrado
Vitamina D,mcg,"0,97","0,53",BRC0458N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,28",BRC0458N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0458N,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0458N,Nome não encontrado
Niacina,mg,"0,61","0,33",BRC0458N,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0458N,Nome não encontrado
Vitamina B12,mcg,"0,95","0,52",BRC0458N,Nome não encontrado
Vitamina C,mg,"9,68","5,32",BRC0458N,Nome não encontrado
Equivalente de folato,mcg,"21,8","12,0",BRC0458N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0458N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0458N,Nome não encontrado
Gordura de adição,g,-,-,BRC0458N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0458N,Nome não encontrado
Proteína animal,g,-,-,BRC0458N,Nome não encontrado
