componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,644,225,109,900,514,BRC0209T,Nome não encontrado
Energia,kcal,153,53,26,214,122,BRC0209T,Nome não encontrado
Umidade,g,"61,2","21,4","10,4","85,7","49,0",BRC0209T,Nome não encontrado
Carboidrato total,g,"24,4","8,54","4,15","34,1","19,5",BRC0209T,Nome não encontrado
Carboidrato disponível,g,"18,3","6,40","3,11","25,6","14,6",BRC0209T,Nome não encontrado
Proteína,g,"9,44","3,30","1,60","13,2","7,55",BRC0209T,Nome não encontrado
Lipídios,g,"3,34","1,17","0,57","4,68","2,67",BRC0209T,Nome não encontrado
Fibra alimentar,g,"6,11","2,14","1,04","8,56","4,89",BRC0209T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Cinzas,g,"1,65","0,58","0,28","2,31","1,32",BRC0209T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Ácidos graxos saturados,g,"0,54","0,19","0,09","0,75","0,43",BRC0209T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,30","0,80","0,39","3,21","1,84",BRC0209T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,43","0,15","0,07","0,60","0,35",BRC0209T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Cálcio,mg,"87,3","30,6","14,8",122,"69,9",BRC0209T,Nome não encontrado
Ferro,mg,"3,61","1,26","0,61","5,05","2,88",BRC0209T,Nome não encontrado
Sódio,mg,"5,88","2,06","1,00","8,23","4,70",BRC0209T,Nome não encontrado
Magnésio,mg,"61,1","21,4","10,4","85,6","48,9",BRC0209T,Nome não encontrado
Fósforo,mg,109,"38,4","18,6",153,"87,7",BRC0209T,Nome não encontrado
Potássio,mg,544,190,"92,5",761,435,BRC0209T,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Zinco,mg,"2,58","0,90","0,44","3,62","2,07",BRC0209T,Nome não encontrado
Cobre,mg,"0,77","0,27","0,13","1,08","0,62",BRC0209T,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,46","0,51","0,25","2,05","1,17",BRC0209T,Nome não encontrado
Tiamina,mg,"0,11","0,04","0,02","0,16","0,09",BRC0209T,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,01","0,06","0,04",BRC0209T,Nome não encontrado
Niacina,mg,"0,14","0,05","0,02","0,19","0,11",BRC0209T,Nome não encontrado
Vitamina B6,mg,"0,09","0,03","0,02","0,13","0,07",BRC0209T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Equivalente de folato,mcg,"78,6","27,5","13,4",109,"62,9",BRC0209T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0209T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0209T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0209T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0209T,Nome não encontrado
