componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,272,652,448,BRC0157H,Nome não encontrado
Energia,kcal,65,156,107,BRC0157H,Nome não encontrado
Umidade,g,"85,7",205,141,BRC0157H,Nome não encontrado
Carboidrato total,g,"10,1","24,2","16,7",BRC0157H,Nome não encontrado
Carboidrato disponível,g,"9,12","21,9","15,0",BRC0157H,Nome não encontrado
Proteína,g,"0,45","1,08","0,74",BRC0157H,Nome não encontrado
Lipídios,g,"0,23","0,55","0,38",BRC0157H,Nome não encontrado
Fibra alimentar,g,"1,01","2,42","1,67",BRC0157H,Nome não encontrado
Álcool,g,"3,22","7,73","5,31",BRC0157H,Nome não encontrado
Cinzas,g,"0,26","0,62","0,43",BRC0157H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0157H,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,10","0,07",BRC0157H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,07","0,05",BRC0157H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,19","0,13",BRC0157H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0157H,Nome não encontrado
Cálcio,mg,"11,1","26,6","18,3",BRC0157H,Nome não encontrado
Ferro,mg,"0,24","0,58","0,40",BRC0157H,Nome não encontrado
Sódio,mg,"3,28","7,87","5,41",BRC0157H,Nome não encontrado
Magnésio,mg,"7,43","17,8","12,3",BRC0157H,Nome não encontrado
Fósforo,mg,"12,7","30,5","21,0",BRC0157H,Nome não encontrado
Potássio,mg,137,328,226,BRC0157H,Nome não encontrado
Manganês,mg,"0,21","0,50","0,35",BRC0157H,Nome não encontrado
Zinco,mg,"0,06","0,14","0,10",BRC0157H,Nome não encontrado
Cobre,mg,"0,07","0,17","0,12",BRC0157H,Nome não encontrado
Selênio,mcg,"0,13","0,31","0,21",BRC0157H,Nome não encontrado
Vitamina A (RE),mcg,"6,63","15,9","10,9",BRC0157H,Nome não encontrado
Vitamina A (RAE),mcg,"3,32","7,97","5,48",BRC0157H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0157H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,52","1,25","0,86",BRC0157H,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0157H,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,02",BRC0157H,Nome não encontrado
Niacina,mg,"0,02","0,05","0,03",BRC0157H,Nome não encontrado
Vitamina B6,mg,"0,02","0,05","0,03",BRC0157H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0157H,Nome não encontrado
Vitamina C,mg,"15,6","37,4","25,7",BRC0157H,Nome não encontrado
Equivalente de folato,mcg,"7,72","18,5","12,7",BRC0157H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0157H,Nome não encontrado
Açúcar de adição,g,,,,BRC0157H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0157H,Nome não encontrado
Proteína vegetal,g,"0,45","1,08","0,74",BRC0157H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0157H,Nome não encontrado
