componente,unidade,Valor por 100g,Colher sopa cheia (37 g),Colher sopa rasa (22 g),codigo_alimento,nome_alimento
Energia,kJ,777,287,170,BRC0361B,Nome não encontrado
Energia,kcal,183,67,40,BRC0361B,Nome não encontrado
Umidade,g,"52,2","19,3","11,5",BRC0361B,Nome não encontrado
Carboidrato total,g,"45,4","16,8","9,98",BRC0361B,Nome não encontrado
Carboidrato disponível,g,"42,7","15,8","9,39",BRC0361B,Nome não encontrado
Proteína,g,"0,97","0,36","0,21",BRC0361B,Nome não encontrado
Lipídios,g,"0,36","0,13","0,08",BRC0361B,Nome não encontrado
Fibra alimentar,g,"2,70","1,00","0,59",BRC0361B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0361B,Nome não encontrado
Cinzas,g,"1,13","0,42","0,25",BRC0361B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0361B,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,05","0,03",BRC0361B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,05","0,03",BRC0361B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,05","0,03",BRC0361B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0361B,Nome não encontrado
Cálcio,mg,"28,3","10,5","6,22",BRC0361B,Nome não encontrado
Ferro,mg,"0,11","0,04","0,03",BRC0361B,Nome não encontrado
Sódio,mg,189,"70,0","41,6",BRC0361B,Nome não encontrado
Magnésio,mg,"40,6","15,0","8,92",BRC0361B,Nome não encontrado
Fósforo,mg,"33,9","12,5","7,46",BRC0361B,Nome não encontrado
Potássio,mg,151,"56,2","33,4",BRC0361B,Nome não encontrado
Manganês,mg,"0,10","0,04","0,02",BRC0361B,Nome não encontrado
Zinco,mg,"0,26","0,10","0,06",BRC0361B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00",BRC0361B,Nome não encontrado
Selênio,mcg,"0,74","0,27","0,16",BRC0361B,Nome não encontrado
Vitamina A (RE),mcg,"18,0","6,65","3,95",BRC0361B,Nome não encontrado
Vitamina A (RAE),mcg,"8,99","3,33","1,98",BRC0361B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0361B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,09","0,05",BRC0361B,Nome não encontrado
Tiamina,mg,"0,08","0,03","0,02",BRC0361B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0361B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0361B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01",BRC0361B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0361B,Nome não encontrado
Vitamina C,mg,"14,2","5,26","3,13",BRC0361B,Nome não encontrado
Equivalente de folato,mcg,"11,1","4,11","2,44",BRC0361B,Nome não encontrado
Sal de adição,g,"0,47","0,17","0,10",BRC0361B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0361B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0361B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0361B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0361B,Nome não encontrado
