componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (31 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,328,114,101,459,262,BRC0089T,Nome não encontrado
Energia,kcal,78,27,24,109,62,BRC0089T,Nome não encontrado
Umidade,g,"79,4","27,8","24,6",111,"63,5",BRC0089T,Nome não encontrado
Carboidrato total,g,"13,0","4,54","4,02","18,2","10,4",BRC0089T,Nome não encontrado
Carboidrato disponível,g,"8,56","3,00","2,65","12,0","6,85",BRC0089T,Nome não encontrado
Proteína,g,"5,39","1,89","1,67","7,54","4,31",BRC0089T,Nome não encontrado
Lipídios,g,"1,49","0,52","0,46","2,09","1,20",BRC0089T,Nome não encontrado
Fibra alimentar,g,"4,42","1,55","1,37","6,19","3,54",BRC0089T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0089T,Nome não encontrado
Cinzas,g,"0,72","0,25","0,22","1,00","0,57",BRC0089T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0089T,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,08","0,07","0,31","0,18",BRC0089T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,34","0,12","0,10","0,47","0,27",BRC0089T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,84","0,29","0,26","1,17","0,67",BRC0089T,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0089T,Nome não encontrado
Cálcio,mg,"20,9","7,32","6,49","29,3","16,7",BRC0089T,Nome não encontrado
Ferro,mg,"1,10","0,38","0,34","1,53","0,88",BRC0089T,Nome não encontrado
Sódio,mg,180,"63,3","56,1",253,144,BRC0089T,Nome não encontrado
Magnésio,mg,"28,9","10,1","8,95","40,4","23,1",BRC0089T,Nome não encontrado
Fósforo,mg,"92,6","32,4","28,7",129,"74,1",BRC0089T,Nome não encontrado
Potássio,mg,236,"82,8","73,4",331,189,BRC0089T,Nome não encontrado
Manganês,mg,"0,31","0,11","0,10","0,44","0,25",BRC0089T,Nome não encontrado
Zinco,mg,"0,75","0,26","0,23","1,05","0,60",BRC0089T,Nome não encontrado
Cobre,mg,"0,18","0,06","0,06","0,25","0,14",BRC0089T,Nome não encontrado
Selênio,mcg,,,,,,BRC0089T,Nome não encontrado
Vitamina A (RE),mcg,"0,98","0,34","0,30","1,37","0,79",BRC0089T,Nome não encontrado
Vitamina A (RAE),mcg,"0,49","0,17","0,15","0,69","0,39",BRC0089T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0089T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,06","0,05","0,24","0,13",BRC0089T,Nome não encontrado
Tiamina,mg,"0,09","0,03","0,03","0,12","0,07",BRC0089T,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,01","0,07","0,04",BRC0089T,Nome não encontrado
Niacina,mg,"0,37","0,13","0,11","0,52","0,30",BRC0089T,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,02","0,08","0,05",BRC0089T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0089T,Nome não encontrado
Vitamina C,mg,"0,62","0,22","0,19","0,87","0,50",BRC0089T,Nome não encontrado
Equivalente de folato,mcg,"29,5","10,3","9,14","41,3","23,6",BRC0089T,Nome não encontrado
Sal de adição,g,"0,47","0,16","0,15","0,66","0,38",BRC0089T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0089T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0089T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0089T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0089T,Nome não encontrado
