componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,125,250,BRC0104H,Nome não encontrado
Energia,kcal,30,59,BRC0104H,Nome não encontrado
Umidade,g,"92,5",185,BRC0104H,Nome não encontrado
Carboidrato total,g,"7,00","14,0",BRC0104H,Nome não encontrado
Carboidrato disponível,g,"6,35","12,7",BRC0104H,Nome não encontrado
Proteína,g,"0,18","0,37",BRC0104H,Nome não encontrado
Lipídios,g,"0,24","0,49",BRC0104H,Nome não encontrado
Fibra alimentar,g,"0,65","1,30",BRC0104H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0104H,Nome não encontrado
Cinzas,g,"0,03","0,06",BRC0104H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0104H,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,17",BRC0104H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,04",BRC0104H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,18",BRC0104H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0104H,Nome não encontrado
Cálcio,mg,"4,80","9,59",BRC0104H,Nome não encontrado
Ferro,mg,"0,20","0,39",BRC0104H,Nome não encontrado
Sódio,mg,"1,91","3,82",BRC0104H,Nome não encontrado
Magnésio,mg,"5,40","10,8",BRC0104H,Nome não encontrado
Fósforo,mg,"3,28","6,56",BRC0104H,Nome não encontrado
Potássio,mg,"42,4","84,7",BRC0104H,Nome não encontrado
Manganês,mg,"0,16","0,31",BRC0104H,Nome não encontrado
Zinco,mg,"0,02","0,04",BRC0104H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0104H,Nome não encontrado
Selênio,mcg,,,BRC0104H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0104H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0104H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0104H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0104H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0104H,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0104H,Nome não encontrado
Niacina,mg,"0,16","0,31",BRC0104H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0104H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0104H,Nome não encontrado
Vitamina C,mg,traços,,BRC0104H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0104H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0104H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0104H,Nome não encontrado
Gordura de adição,g,-,-,BRC0104H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0104H,Nome não encontrado
Proteína animal,g,-,-,BRC0104H,Nome não encontrado
