componente,unidade,Valor por 100g,Porção Média (45 g),codigo_alimento,nome_alimento
Energia,kJ,1508,678,BRC0481A,Nome não encontrado
Energia,kcal,359,161,BRC0481A,Nome não encontrado
Umidade,g,"24,4","11,0",BRC0481A,Nome não encontrado
Carboidrato total,g,"48,3","21,8",BRC0481A,Nome não encontrado
Carboidrato disponível,g,"47,9","21,5",BRC0481A,Nome não encontrado
Proteína,g,"12,0","5,39",BRC0481A,Nome não encontrado
Lipídios,g,"13,2","5,93",BRC0481A,Nome não encontrado
Fibra alimentar,g,"0,47","0,21",BRC0481A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0481A,Nome não encontrado
Cinzas,g,"2,15","0,97",BRC0481A,Nome não encontrado
Colesterol,mg,"24,6","11,1",BRC0481A,Nome não encontrado
Ácidos graxos saturados,g,"5,46","2,46",BRC0481A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,16","1,42",BRC0481A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,51","0,68",BRC0481A,Nome não encontrado
Ácidos graxos trans,g,"0,58","0,26",BRC0481A,Nome não encontrado
Cálcio,mg,219,"98,9",BRC0481A,Nome não encontrado
Ferro,mg,"2,87","1,29",BRC0481A,Nome não encontrado
Sódio,mg,666,300,BRC0481A,Nome não encontrado
Magnésio,mg,"61,0","27,5",BRC0481A,Nome não encontrado
Fósforo,mg,333,149,BRC0481A,Nome não encontrado
Potássio,mg,185,"83,6",BRC0481A,Nome não encontrado
Manganês,mg,"1,54","0,69",BRC0481A,Nome não encontrado
Zinco,mg,"1,97","0,89",BRC0481A,Nome não encontrado
Cobre,mg,"0,15","0,07",BRC0481A,Nome não encontrado
Selênio,mcg,"4,33","1,95",BRC0481A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0481A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0481A,Nome não encontrado
Vitamina D,mcg,"0,15","0,07",BRC0481A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,95","0,43",BRC0481A,Nome não encontrado
Tiamina,mg,"0,07","0,03",BRC0481A,Nome não encontrado
Riboflavina,mg,"0,10","0,05",BRC0481A,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0481A,Nome não encontrado
Vitamina B6,mg,"0,14","0,06",BRC0481A,Nome não encontrado
Vitamina B12,mcg,"0,13","0,06",BRC0481A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0481A,Nome não encontrado
Equivalente de folato,mcg,"46,5","20,9",BRC0481A,Nome não encontrado
Sal de adição,g,,,BRC0481A,Nome não encontrado
Açúcar de adição,g,,,BRC0481A,Nome não encontrado
Gordura de adição,g,-,-,BRC0481A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0481A,Nome não encontrado
Proteína animal,g,-,-,BRC0481A,Nome não encontrado
