componente,unidade,Valor por 100g,Colher café rasa (1 g),Colher chá rasa (2 g),Colher sobremesa rasa (5 g),Colher sopa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,3700,37,74,185,296,BRC0024D,Nome não encontrado
Energia,kcal,900,9,18,45,72,BRC0024D,Nome não encontrado
Umidade,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Lipídios,g,"100,0","1,00","2,00","5,00","8,00",BRC0024D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Ácidos graxos saturados,g,"7,90","0,08","0,16","0,40","0,63",BRC0024D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"62,6","0,63","1,25","3,13","5,01",BRC0024D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"28,4","0,28","0,57","1,42","2,27",BRC0024D,Nome não encontrado
Ácidos graxos trans,g,"0,37","0,00","0,01","0,02","0,03",BRC0024D,Nome não encontrado
Cálcio,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Potássio,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Vitamina D,mcg,"1,77","0,02","0,04","0,09","0,14",BRC0024D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"12,4","0,12","0,25","0,62","0,99",BRC0024D,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Gordura de adição,g,"100,0","1,00","2,00","5,00","8,00",BRC0024D,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0024D,Nome não encontrado
