componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,513,308,231,BRC0486F,Nome não encontrado
Energia,kcal,124,74,55,BRC0486F,Nome não encontrado
Umidade,g,"77,1","46,3","34,7",BRC0486F,Nome não encontrado
Carboidrato total,g,"3,72","2,23","1,67",BRC0486F,Nome não encontrado
Carboidrato disponível,g,"2,30","1,38","1,03",BRC0486F,Nome não encontrado
Proteína,g,"7,55","4,53","3,40",BRC0486F,Nome não encontrado
Lipídios,g,"9,05","5,43","4,07",BRC0486F,Nome não encontrado
Fibra alimentar,g,"1,42","0,85","0,64",BRC0486F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0486F,Nome não encontrado
Cinzas,g,"2,59","1,55","1,16",BRC0486F,Nome não encontrado
Colesterol,mg,"19,8","11,9","8,90",BRC0486F,Nome não encontrado
Ácidos graxos saturados,g,"2,82","1,69","1,27",BRC0486F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,79","2,27","1,71",BRC0486F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,75","1,05","0,79",BRC0486F,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0486F,Nome não encontrado
Cálcio,mg,"16,9","10,1","7,60",BRC0486F,Nome não encontrado
Ferro,mg,"0,63","0,38","0,28",BRC0486F,Nome não encontrado
Sódio,mg,612,367,275,BRC0486F,Nome não encontrado
Magnésio,mg,"13,4","8,01","6,01",BRC0486F,Nome não encontrado
Fósforo,mg,"57,8","34,7","26,0",BRC0486F,Nome não encontrado
Potássio,mg,219,131,"98,9",BRC0486F,Nome não encontrado
Manganês,mg,"0,11","0,07","0,05",BRC0486F,Nome não encontrado
Zinco,mg,"0,94","0,56","0,42",BRC0486F,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0486F,Nome não encontrado
Selênio,mcg,"0,18","0,11","0,08",BRC0486F,Nome não encontrado
Vitamina A (RE),mcg,126,"75,9","56,9",BRC0486F,Nome não encontrado
Vitamina A (RAE),mcg,"63,3","38,0","28,5",BRC0486F,Nome não encontrado
Vitamina D,mcg,"0,31","0,18","0,14",BRC0486F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,30","0,23",BRC0486F,Nome não encontrado
Tiamina,mg,"0,14","0,09","0,06",BRC0486F,Nome não encontrado
Riboflavina,mg,"0,08","0,05","0,04",BRC0486F,Nome não encontrado
Niacina,mg,"1,38","0,83","0,62",BRC0486F,Nome não encontrado
Vitamina B6,mg,"0,10","0,06","0,04",BRC0486F,Nome não encontrado
Vitamina B12,mcg,"0,55","0,33","0,25",BRC0486F,Nome não encontrado
Vitamina C,mg,"7,03","4,22","3,16",BRC0486F,Nome não encontrado
Equivalente de folato,mcg,"13,5","8,12","6,09",BRC0486F,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,21",BRC0486F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0486F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0486F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0486F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0486F,Nome não encontrado
