componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,3700,129,74,296,111,777,407,814,629,BRC0035D,Nome não encontrado
Energia,kcal,900,31,18,72,27,189,99,198,153,BRC0035D,Nome não encontrado
Umidade,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Lipídios,g,"100,0","3,50","2,00","8,00","3,00","21,0","11,0","22,0","17,0",BRC0035D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Colesterol,mg,"95,0","3,33","1,90","7,60","2,85","20,0","10,5","20,9","16,2",BRC0035D,Nome não encontrado
Ácidos graxos saturados,g,"39,2","1,37","0,78","3,14","1,18","8,23","4,31","8,62","6,66",BRC0035D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"45,1","1,58","0,90","3,61","1,35","9,47","4,96","9,92","7,67",BRC0035D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"11,2","0,39","0,22","0,90","0,34","2,35","1,23","2,46","1,90",BRC0035D,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,,,BRC0035D,Nome não encontrado
Cálcio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Potássio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Zinco,mg,"0,11","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,02",BRC0035D,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Selênio,mcg,"0,20","0,01","0,00","0,02","0,01","0,04","0,02","0,04","0,03",BRC0035D,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Vitamina D,mcg,"2,50","0,09","0,05","0,20","0,08","0,53","0,28","0,55","0,43",BRC0035D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,02","0,01","0,05","0,02","0,13","0,07","0,13","0,10",BRC0035D,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Gordura de adição,g,"100,0","3,50","2,00","8,00","3,00","21,0","11,0","22,0","17,0",BRC0035D,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0035D,Nome não encontrado
