componente,unidade,Valor por 100g,Colher sopa cheia (50 g),codigo_alimento,nome_alimento
Energia,kJ,680,339,BRC0109A,Nome não encontrado
Energia,kcal,160,80,BRC0109A,Nome não encontrado
Umidade,g,"59,6","29,8",BRC0109A,Nome não encontrado
Carboidrato total,g,"32,5","16,3",BRC0109A,Nome não encontrado
Carboidrato disponível,g,"30,9","15,4",BRC0109A,Nome não encontrado
Proteína,g,"5,81","2,91",BRC0109A,Nome não encontrado
Lipídios,g,"1,16","0,58",BRC0109A,Nome não encontrado
Fibra alimentar,g,"1,64","0,82",BRC0109A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0109A,Nome não encontrado
Cinzas,g,"0,86","0,43",BRC0109A,Nome não encontrado
Colesterol,mg,"18,8","9,40",BRC0109A,Nome não encontrado
Ácidos graxos saturados,g,"0,60","0,30",BRC0109A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,40","0,20",BRC0109A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,05",BRC0109A,Nome não encontrado
Ácidos graxos trans,g,,traços,BRC0109A,Nome não encontrado
Cálcio,mg,"9,97","4,99",BRC0109A,Nome não encontrado
Ferro,mg,"1,96","0,98",BRC0109A,Nome não encontrado
Sódio,mg,206,103,BRC0109A,Nome não encontrado
Magnésio,mg,"3,54","1,77",BRC0109A,Nome não encontrado
Fósforo,mg,"42,4","21,2",BRC0109A,Nome não encontrado
Potássio,mg,"53,9","27,0",BRC0109A,Nome não encontrado
Manganês,mg,"0,20","0,10",BRC0109A,Nome não encontrado
Zinco,mg,"0,41","0,20",BRC0109A,Nome não encontrado
Cobre,mg,"0,07","0,04",BRC0109A,Nome não encontrado
Selênio,mcg,"3,33","1,67",BRC0109A,Nome não encontrado
Vitamina A (RE),mcg,"6,36","3,18",BRC0109A,Nome não encontrado
Vitamina A (RAE),mcg,"6,34","3,17",BRC0109A,Nome não encontrado
Vitamina D,mcg,"0,08","0,04",BRC0109A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,04",BRC0109A,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0109A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0109A,Nome não encontrado
Niacina,mg,"3,96","1,98",BRC0109A,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0109A,Nome não encontrado
Vitamina B12,mcg,"0,04","0,02",BRC0109A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0109A,Nome não encontrado
Equivalente de folato,mcg,"88,8","44,4",BRC0109A,Nome não encontrado
Sal de adição,g,,traços,BRC0109A,Nome não encontrado
Açúcar de adição,g,,traços,BRC0109A,Nome não encontrado
Gordura de adição,g,,traços,BRC0109A,Nome não encontrado
Proteína vegetal,g,,traços,BRC0109A,Nome não encontrado
Proteína animal,g,,traços,BRC0109A,Nome não encontrado
