componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1366,204,BRC0057T,Nome não encontrado
Energia,kcal,328,49,BRC0057T,Nome não encontrado
Umidade,g,"9,69","1,45",BRC0057T,Nome não encontrado
Carboidrato total,g,"41,4","6,20",BRC0057T,Nome não encontrado
Carboidrato disponível,g,"9,05","1,36",BRC0057T,Nome não encontrado
Proteína,g,"33,6","5,04",BRC0057T,Nome não encontrado
Lipídios,g,"10,3","1,55",BRC0057T,Nome não encontrado
Fibra alimentar,g,"32,3","4,85",BRC0057T,Nome não encontrado
Álcool,g,,,BRC0057T,Nome não encontrado
Cinzas,g,"5,03","0,75",BRC0057T,Nome não encontrado
Colesterol,mg,,,BRC0057T,Nome não encontrado
Ácidos graxos saturados,g,"1,20","0,18",BRC0057T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,40","0,81",BRC0057T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,70","0,26",BRC0057T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0057T,Nome não encontrado
Cálcio,mg,176,"26,5",BRC0057T,Nome não encontrado
Ferro,mg,"2,79","0,42",BRC0057T,Nome não encontrado
Sódio,mg,"3,29","0,49",BRC0057T,Nome não encontrado
Magnésio,mg,121,"18,2",BRC0057T,Nome não encontrado
Fósforo,mg,264,"39,7",BRC0057T,Nome não encontrado
Potássio,mg,708,106,BRC0057T,Nome não encontrado
Manganês,mg,,,BRC0057T,Nome não encontrado
Zinco,mg,"4,24","0,64",BRC0057T,Nome não encontrado
Cobre,mg,"0,79","0,12",BRC0057T,Nome não encontrado
Selênio,mcg,,,BRC0057T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0057T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0057T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0057T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0057T,Nome não encontrado
Tiamina,mg,"0,24","0,04",BRC0057T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0057T,Nome não encontrado
Niacina,mg,traços,traços,BRC0057T,Nome não encontrado
Vitamina B6,mg,"0,07","0,01",BRC0057T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0057T,Nome não encontrado
Vitamina C,mg,"25,0","3,75",BRC0057T,Nome não encontrado
Equivalente de folato,mcg,357,"53,7",BRC0057T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0057T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0057T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0057T,Nome não encontrado
Proteína vegetal,g,"33,6","5,04",BRC0057T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0057T,Nome não encontrado
