componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2456,736,BRC0036U,Nome não encontrado
Energia,kcal,594,178,BRC0036U,Nome não encontrado
Umidade,g,"3,75","1,13",BRC0036U,Nome não encontrado
Carboidrato total,g,"24,2","7,26",BRC0036U,Nome não encontrado
Carboidrato disponível,g,"10,9","3,27",BRC0036U,Nome não encontrado
Proteína,g,"19,6","5,88",BRC0036U,Nome não encontrado
Lipídios,g,"49,5","14,9",BRC0036U,Nome não encontrado
Fibra alimentar,g,"13,3","3,98",BRC0036U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0036U,Nome não encontrado
Cinzas,g,"2,96","0,89",BRC0036U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0036U,Nome não encontrado
Ácidos graxos saturados,g,"9,06","2,72",BRC0036U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"22,4","6,71",BRC0036U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"18,3","5,50",BRC0036U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0036U,Nome não encontrado
Cálcio,mg,253,"76,0",BRC0036U,Nome não encontrado
Ferro,mg,"4,04","1,21",BRC0036U,Nome não encontrado
Sódio,mg,102,"30,8",BRC0036U,Nome não encontrado
Magnésio,mg,289,"86,9",BRC0036U,Nome não encontrado
Fósforo,mg,568,170,BRC0036U,Nome não encontrado
Potássio,mg,647,194,BRC0036U,Nome não encontrado
Manganês,mg,"1,95","0,59",BRC0036U,Nome não encontrado
Zinco,mg,"4,22","1,27",BRC0036U,Nome não encontrado
Cobre,mg,"1,32","0,40",BRC0036U,Nome não encontrado
Selênio,mcg,863,259,BRC0036U,Nome não encontrado
Vitamina A (RE),mcg,"0,17","0,05",BRC0036U,Nome não encontrado
Vitamina A (RAE),mcg,"0,08","0,02",BRC0036U,Nome não encontrado
Vitamina D,mcg,,,BRC0036U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,58","0,77",BRC0036U,Nome não encontrado
Tiamina,mg,"0,33","0,10",BRC0036U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0036U,Nome não encontrado
Niacina,mg,"2,68","0,80",BRC0036U,Nome não encontrado
Vitamina B6,mg,"0,26","0,08",BRC0036U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0036U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0036U,Nome não encontrado
Equivalente de folato,mcg,"74,5","22,3",BRC0036U,Nome não encontrado
Sal de adição,g,,,BRC0036U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0036U,Nome não encontrado
Gordura de adição,g,-,-,BRC0036U,Nome não encontrado
Proteína vegetal,g,-,-,BRC0036U,Nome não encontrado
Proteína animal,g,-,-,BRC0036U,Nome não encontrado
