componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,363,870,598,362,BRC0037H,Nome não encontrado
Energia,kcal,87,209,144,87,BRC0037H,Nome não encontrado
Umidade,g,"86,4",207,142,"86,4",BRC0037H,Nome não encontrado
Carboidrato total,g,"2,05","4,92","3,38","2,05",BRC0037H,Nome não encontrado
Carboidrato disponível,g,"2,05","4,92","3,38","2,05",BRC0037H,Nome não encontrado
Proteína,g,"0,07","0,17","0,12","0,07",BRC0037H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Álcool,g,"11,3","27,0","18,6","11,3",BRC0037H,Nome não encontrado
Cinzas,g,"0,21","0,50","0,34","0,21",BRC0037H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Cálcio,mg,"7,87","18,9","13,0","7,87",BRC0037H,Nome não encontrado
Ferro,mg,"0,29","0,68","0,47","0,29",BRC0037H,Nome não encontrado
Sódio,mg,"0,92","2,20","1,51","0,92",BRC0037H,Nome não encontrado
Magnésio,mg,"8,63","20,7","14,2","8,63",BRC0037H,Nome não encontrado
Fósforo,mg,"18,2","43,6","29,9","18,2",BRC0037H,Nome não encontrado
Potássio,mg,109,261,180,109,BRC0037H,Nome não encontrado
Manganês,mg,"0,25","0,59","0,41","0,25",BRC0037H,Nome não encontrado
Zinco,mg,"0,09","0,20","0,14","0,09",BRC0037H,Nome não encontrado
Cobre,mg,"0,05","0,12","0,08","0,05",BRC0037H,Nome não encontrado
Selênio,mcg,,,,,BRC0037H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,01",BRC0037H,Nome não encontrado
Riboflavina,mg,"0,02","0,06","0,04","0,02",BRC0037H,Nome não encontrado
Niacina,mg,"0,17","0,40","0,28","0,17",BRC0037H,Nome não encontrado
Vitamina B6,mg,"0,06","0,13","0,09","0,06",BRC0037H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Equivalente de folato,mcg,"1,01","2,43","1,67","1,01",BRC0037H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0037H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
Proteína vegetal,g,"0,07","0,17","0,12","0,07",BRC0037H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0037H,Nome não encontrado
