componente,unidade,Valor por 100g,Colher sopa cheia (18 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1279,230,127,BRC0169C,Nome não encontrado
Energia,kcal,302,54,30,BRC0169C,Nome não encontrado
Umidade,g,"20,9","3,76","2,09",BRC0169C,Nome não encontrado
Carboidrato total,g,"72,6","13,1","7,26",BRC0169C,Nome não encontrado
Carboidrato disponível,g,"67,2","12,1","6,72",BRC0169C,Nome não encontrado
Proteína,g,"3,24","0,58","0,32",BRC0169C,Nome não encontrado
Lipídios,g,"1,04","0,19","0,10",BRC0169C,Nome não encontrado
Fibra alimentar,g,"5,32","0,96","0,53",BRC0169C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
Cinzas,g,"2,27","0,41","0,23",BRC0169C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
Ácidos graxos saturados,g,"0,35","0,06","0,04",BRC0169C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,01","0,00",BRC0169C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,06","0,03",BRC0169C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
Cálcio,mg,"41,2","7,41","4,12",BRC0169C,Nome não encontrado
Ferro,mg,"0,97","0,17","0,10",BRC0169C,Nome não encontrado
Sódio,mg,"45,1","8,11","4,51",BRC0169C,Nome não encontrado
Magnésio,mg,"33,2","5,97","3,32",BRC0169C,Nome não encontrado
Fósforo,mg,129,"23,3","13,0",BRC0169C,Nome não encontrado
Potássio,mg,813,146,"81,4",BRC0169C,Nome não encontrado
Manganês,mg,"0,41","0,07","0,04",BRC0169C,Nome não encontrado
Zinco,mg,"0,21","0,04","0,02",BRC0169C,Nome não encontrado
Cobre,mg,"0,24","0,04","0,02",BRC0169C,Nome não encontrado
Selênio,mcg,"0,60","0,11","0,06",BRC0169C,Nome não encontrado
Vitamina A (RE),mcg,"29,8","5,36","2,98",BRC0169C,Nome não encontrado
Vitamina A (RAE),mcg,"14,9","2,68","1,49",BRC0169C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,24","0,22","0,12",BRC0169C,Nome não encontrado
Tiamina,mg,"0,08","0,01","0,01",BRC0169C,Nome não encontrado
Riboflavina,mg,"0,12","0,02","0,01",BRC0169C,Nome não encontrado
Niacina,mg,"0,72","0,13","0,07",BRC0169C,Nome não encontrado
Vitamina B6,mg,"0,16","0,03","0,02",BRC0169C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
Vitamina C,mg,"8,48","1,53","0,85",BRC0169C,Nome não encontrado
Equivalente de folato,mcg,"4,89","0,88","0,49",BRC0169C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
Açúcar de adição,g,,,,BRC0169C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
Proteína vegetal,g,"3,24","0,58","0,32",BRC0169C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0169C,Nome não encontrado
