componente,unidade,Valor por 100g,Colher servir rasa (30 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,260,77,25,BRC0106B,Nome não encontrado
Energia,kcal,63,18,6,BRC0106B,Nome não encontrado
Umidade,g,"87,4","26,2","8,74",BRC0106B,Nome não encontrado
Carboidrato total,g,"4,81","1,44","0,48",BRC0106B,Nome não encontrado
Carboidrato disponível,g,"1,16","0,35","0,12",BRC0106B,Nome não encontrado
Proteína,g,"1,95","0,59","0,20",BRC0106B,Nome não encontrado
Lipídios,g,"4,81","1,44","0,48",BRC0106B,Nome não encontrado
Fibra alimentar,g,"3,65","1,10","0,37",BRC0106B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0106B,Nome não encontrado
Cinzas,g,"1,00","0,30","0,10",BRC0106B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0106B,Nome não encontrado
Ácidos graxos saturados,g,"0,71","0,21","0,07",BRC0106B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,07","0,32","0,11",BRC0106B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,98","0,89","0,30",BRC0106B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0106B,Nome não encontrado
Cálcio,mg,"63,2","19,0","6,32",BRC0106B,Nome não encontrado
Ferro,mg,"1,18","0,35","0,12",BRC0106B,Nome não encontrado
Sódio,mg,"24,7","7,42","2,47",BRC0106B,Nome não encontrado
Magnésio,mg,"16,3","4,90","1,63",BRC0106B,Nome não encontrado
Fósforo,mg,"35,4","10,6","3,54",BRC0106B,Nome não encontrado
Potássio,mg,452,135,"45,2",BRC0106B,Nome não encontrado
Manganês,mg,"0,64","0,19","0,06",BRC0106B,Nome não encontrado
Zinco,mg,"0,44","0,13","0,04",BRC0106B,Nome não encontrado
Cobre,mg,"0,18","0,05","0,02",BRC0106B,Nome não encontrado
Selênio,mcg,,,,BRC0106B,Nome não encontrado
Vitamina A (RE),mcg,850,255,"85,0",BRC0106B,Nome não encontrado
Vitamina A (RAE),mcg,425,127,"42,5",BRC0106B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0106B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0106B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,00",BRC0106B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0106B,Nome não encontrado
Niacina,mg,"0,60","0,18","0,06",BRC0106B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0106B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0106B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0106B,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0106B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0106B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0106B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0106B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0106B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0106B,Nome não encontrado
