componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (20 g),Escumadeira cheia (105 g),Escumadeira rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,107,31,21,111,74,BRC0355B,Nome não encontrado
Energia,kcal,26,7,5,26,17,BRC0355B,Nome não encontrado
Umidade,g,"91,0","27,3","18,2","95,6","63,7",BRC0355B,Nome não encontrado
Carboidrato total,g,"5,92","1,77","1,18","6,21","4,14",BRC0355B,Nome não encontrado
Carboidrato disponível,g,"2,33","0,70","0,47","2,44","1,63",BRC0355B,Nome não encontrado
Proteína,g,"1,80","0,54","0,36","1,89","1,26",BRC0355B,Nome não encontrado
Lipídios,g,"0,21","0,06","0,04","0,22","0,15",BRC0355B,Nome não encontrado
Fibra alimentar,g,"3,59","1,08","0,72","3,77","2,51",BRC0355B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
Cinzas,g,"1,06","0,32","0,21","1,12","0,74",BRC0355B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,01","0,01","0,05","0,03",BRC0355B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,01","0,01","0,03","0,02",BRC0355B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01","0,00","0,02","0,01",BRC0355B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
Cálcio,mg,"5,00","1,50","1,00","5,25","3,50",BRC0355B,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,traços,BRC0355B,Nome não encontrado
Sódio,mg,127,"38,3","25,6",134,"89,5",BRC0355B,Nome não encontrado
Magnésio,mg,"2,99","0,90","0,60","3,14","2,09",BRC0355B,Nome não encontrado
Fósforo,mg,"12,8","3,83","2,56","13,4","8,95",BRC0355B,Nome não encontrado
Potássio,mg,201,"60,5","40,3",211,141,BRC0355B,Nome não encontrado
Manganês,mg,"0,02","0,00","0,00","0,02","0,01",BRC0355B,Nome não encontrado
Zinco,mg,"0,11","0,03","0,02","0,12","0,08",BRC0355B,Nome não encontrado
Cobre,mg,"0,08","0,02","0,02","0,09","0,06",BRC0355B,Nome não encontrado
Selênio,mcg,"1,78","0,53","0,36","1,87","1,24",BRC0355B,Nome não encontrado
Vitamina A (RE),mcg,513,154,102,539,359,BRC0355B,Nome não encontrado
Vitamina A (RAE),mcg,256,"77,0","51,4",269,179,BRC0355B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,23","0,67","0,45","2,34","1,56",BRC0355B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0355B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0355B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0355B,Nome não encontrado
Vitamina B6,mg,"0,09","0,03","0,02","0,10","0,06",BRC0355B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
Vitamina C,mg,"12,5","3,74","2,49","13,1","8,72",BRC0355B,Nome não encontrado
Equivalente de folato,mcg,"11,6","3,49","2,33","12,2","8,14",BRC0355B,Nome não encontrado
Sal de adição,g,"0,32","0,10","0,06","0,34","0,22",BRC0355B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
Proteína vegetal,g,"1,80","0,54","0,36","1,89","1,26",BRC0355B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0355B,Nome não encontrado
