componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,397,BRC0149G,Nome não encontrado
Energia,kcal,94,BRC0149G,Nome não encontrado
Umidade,g,"79,3",BRC0149G,Nome não encontrado
Carboidrato total,g,"13,9",BRC0149G,Nome não encontrado
Carboidrato disponível,g,"13,8",BRC0149G,Nome não encontrado
Proteína,g,"2,66",BRC0149G,Nome não encontrado
Lipídios,g,"3,14",BRC0149G,Nome não encontrado
Fibra alimentar,g,"0,08",BRC0149G,Nome não encontrado
Álcool,g,"0,00",BRC0149G,Nome não encontrado
Cinzas,g,"0,99",BRC0149G,Nome não encontrado
Colesterol,mg,"11,2",BRC0149G,Nome não encontrado
Ácidos graxos saturados,g,"2,03",BRC0149G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,85",BRC0149G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11",BRC0149G,Nome não encontrado
Ácidos graxos trans,g,,BRC0149G,Nome não encontrado
Cálcio,mg,"98,3",BRC0149G,Nome não encontrado
Ferro,mg,"0,12",BRC0149G,Nome não encontrado
Sódio,mg,122,BRC0149G,Nome não encontrado
Magnésio,mg,"10,2",BRC0149G,Nome não encontrado
Fósforo,mg,"77,8",BRC0149G,Nome não encontrado
Potássio,mg,133,BRC0149G,Nome não encontrado
Manganês,mg,traços,BRC0149G,Nome não encontrado
Zinco,mg,"0,38",BRC0149G,Nome não encontrado
Cobre,mg,"0,02",BRC0149G,Nome não encontrado
Selênio,mcg,"4,37",BRC0149G,Nome não encontrado
Vitamina A (RE),mcg,"45,1",BRC0149G,Nome não encontrado
Vitamina A (RAE),mcg,"44,4",BRC0149G,Nome não encontrado
Vitamina D,mcg,"1,08",BRC0149G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07",BRC0149G,Nome não encontrado
Tiamina,mg,"0,03",BRC0149G,Nome não encontrado
Riboflavina,mg,"0,21",BRC0149G,Nome não encontrado
Niacina,mg,"1,32",BRC0149G,Nome não encontrado
Vitamina B6,mg,traços,BRC0149G,Nome não encontrado
Vitamina B12,mcg,"0,32",BRC0149G,Nome não encontrado
Vitamina C,mg,"0,03",BRC0149G,Nome não encontrado
Equivalente de folato,mcg,"0,19",BRC0149G,Nome não encontrado
Sal de adição,g,,BRC0149G,Nome não encontrado
Açúcar de adição,g,,BRC0149G,Nome não encontrado
Gordura de adição,g,-,BRC0149G,Nome não encontrado
Proteína vegetal,g,-,BRC0149G,Nome não encontrado
Proteína animal,g,-,BRC0149G,Nome não encontrado
