componente,unidade,Valor por 100g,Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,713,713,BRC0888F,Nome não encontrado
Energia,kcal,171,170,BRC0888F,Nome não encontrado
Umidade,g,"67,0","67,0",BRC0888F,Nome não encontrado
Carboidrato total,g,"2,95","2,95",BRC0888F,Nome não encontrado
Carboidrato disponível,g,"2,55","2,55",BRC0888F,Nome não encontrado
Proteína,g,"19,7","19,7",BRC0888F,Nome não encontrado
Lipídios,g,"9,02","9,02",BRC0888F,Nome não encontrado
Fibra alimentar,g,"0,40","0,40",BRC0888F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0888F,Nome não encontrado
Cinzas,g,"1,43","1,43",BRC0888F,Nome não encontrado
Colesterol,mg,"68,1","68,1",BRC0888F,Nome não encontrado
Ácidos graxos saturados,g,"3,59","3,59",BRC0888F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,21","2,21",BRC0888F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,50","1,50",BRC0888F,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,18",BRC0888F,Nome não encontrado
Cálcio,mg,"25,0","25,0",BRC0888F,Nome não encontrado
Ferro,mg,"0,35","0,35",BRC0888F,Nome não encontrado
Sódio,mg,275,275,BRC0888F,Nome não encontrado
Magnésio,mg,"12,8","12,8",BRC0888F,Nome não encontrado
Fósforo,mg,169,169,BRC0888F,Nome não encontrado
Potássio,mg,219,219,BRC0888F,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0888F,Nome não encontrado
Zinco,mg,"0,68","0,68",BRC0888F,Nome não encontrado
Cobre,mg,"0,04","0,04",BRC0888F,Nome não encontrado
Selênio,mcg,"7,01","7,01",BRC0888F,Nome não encontrado
Vitamina A (RE),mcg,"13,7","13,7",BRC0888F,Nome não encontrado
Vitamina A (RAE),mcg,"6,83","6,83",BRC0888F,Nome não encontrado
Vitamina D,mcg,"0,24","0,24",BRC0888F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,65",BRC0888F,Nome não encontrado
Tiamina,mg,"0,08","0,08",BRC0888F,Nome não encontrado
Riboflavina,mg,"0,03","0,03",BRC0888F,Nome não encontrado
Niacina,mg,"4,59","4,59",BRC0888F,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0888F,Nome não encontrado
Vitamina B12,mcg,"0,11","0,11",BRC0888F,Nome não encontrado
Vitamina C,mg,"2,79","2,79",BRC0888F,Nome não encontrado
Equivalente de folato,mcg,"6,57","6,57",BRC0888F,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0888F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0888F,Nome não encontrado
Gordura de adição,g,-,-,BRC0888F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0888F,Nome não encontrado
Proteína animal,g,-,-,BRC0888F,Nome não encontrado
