componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,77,30,19,BRC0328B,Nome não encontrado
Energia,kcal,18,7,4,BRC0328B,Nome não encontrado
Umidade,g,"94,0","37,6","23,5",BRC0328B,Nome não encontrado
Carboidrato total,g,"4,46","1,78","1,12",BRC0328B,Nome não encontrado
Carboidrato disponível,g,"2,59","1,03","0,65",BRC0328B,Nome não encontrado
Proteína,g,"0,91","0,36","0,23",BRC0328B,Nome não encontrado
Lipídios,g,"0,06","0,02","0,01",BRC0328B,Nome não encontrado
Fibra alimentar,g,"1,88","0,75","0,47",BRC0328B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Cinzas,g,"0,52","0,21","0,13",BRC0328B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00","0,00",BRC0328B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,01","0,01",BRC0328B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Cálcio,mg,"38,9","15,6","9,73",BRC0328B,Nome não encontrado
Ferro,mg,"0,16","0,06","0,04",BRC0328B,Nome não encontrado
Sódio,mg,"1,31","0,52","0,33",BRC0328B,Nome não encontrado
Magnésio,mg,"8,47","3,39","2,12",BRC0328B,Nome não encontrado
Fósforo,mg,"14,4","5,77","3,60",BRC0328B,Nome não encontrado
Potássio,mg,121,"48,7","30,4",BRC0328B,Nome não encontrado
Manganês,mg,"3,84","1,54","0,96",BRC0328B,Nome não encontrado
Zinco,mg,"0,14","0,06","0,03",BRC0328B,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01",BRC0328B,Nome não encontrado
Selênio,mcg,"0,46","0,18","0,12",BRC0328B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01","0,00",BRC0328B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01",BRC0328B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0328B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0328B,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0328B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Vitamina C,mg,"3,69","1,48","0,92",BRC0328B,Nome não encontrado
Equivalente de folato,mcg,"5,49","2,20","1,37",BRC0328B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
Proteína vegetal,g,"0,91","0,36","0,23",BRC0328B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0328B,Nome não encontrado
