componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,593,BRC0052L,Nome não encontrado
Energia,kcal,141,BRC0052L,Nome não encontrado
Umidade,g,"71,3",BRC0052L,Nome não encontrado
Carboidrato total,g,"19,9",BRC0052L,Nome não encontrado
Carboidrato disponível,g,"19,7",BRC0052L,Nome não encontrado
Proteína,g,"2,48",BRC0052L,Nome não encontrado
Lipídios,g,"5,79",BRC0052L,Nome não encontrado
Fibra alimentar,g,"0,23",BRC0052L,Nome não encontrado
Álcool,g,"0,00",BRC0052L,Nome não encontrado
Cinzas,g,"0,48",BRC0052L,Nome não encontrado
Colesterol,mg,"39,5",BRC0052L,Nome não encontrado
Ácidos graxos saturados,g,"3,19",BRC0052L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,59",BRC0052L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,22",BRC0052L,Nome não encontrado
Ácidos graxos trans,g,"0,16",BRC0052L,Nome não encontrado
Cálcio,mg,"15,2",BRC0052L,Nome não encontrado
Ferro,mg,"0,73",BRC0052L,Nome não encontrado
Sódio,mg,"18,3",BRC0052L,Nome não encontrado
Magnésio,mg,"11,8",BRC0052L,Nome não encontrado
Fósforo,mg,"34,3",BRC0052L,Nome não encontrado
Potássio,mg,146,BRC0052L,Nome não encontrado
Manganês,mg,"0,14",BRC0052L,Nome não encontrado
Zinco,mg,"0,20",BRC0052L,Nome não encontrado
Cobre,mg,"0,03",BRC0052L,Nome não encontrado
Selênio,mcg,"2,05",BRC0052L,Nome não encontrado
Vitamina A (RE),mcg,"72,3",BRC0052L,Nome não encontrado
Vitamina A (RAE),mcg,"71,5",BRC0052L,Nome não encontrado
Vitamina D,mcg,"0,14",BRC0052L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25",BRC0052L,Nome não encontrado
Tiamina,mg,"0,04",BRC0052L,Nome não encontrado
Riboflavina,mg,"0,10",BRC0052L,Nome não encontrado
Niacina,mg,"0,34",BRC0052L,Nome não encontrado
Vitamina B6,mg,"0,00",BRC0052L,Nome não encontrado
Vitamina B12,mcg,"0,08",BRC0052L,Nome não encontrado
Vitamina C,mg,"0,00",BRC0052L,Nome não encontrado
Equivalente de folato,mcg,"21,9",BRC0052L,Nome não encontrado
Sal de adição,g,"0,00",BRC0052L,Nome não encontrado
Açúcar de adição,g,"18,0",BRC0052L,Nome não encontrado
Gordura de adição,g,-,BRC0052L,Nome não encontrado
Proteína vegetal,g,-,BRC0052L,Nome não encontrado
Proteína animal,g,-,BRC0052L,Nome não encontrado
