componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,355,851,585,BRC0033G,Nome não encontrado
Energia,kcal,84,202,138,BRC0033G,Nome não encontrado
Umidade,g,"80,9",194,133,BRC0033G,Nome não encontrado
Carboidrato total,g,"14,0","33,7","23,1",BRC0033G,Nome não encontrado
Carboidrato disponível,g,"13,7","32,9","22,6",BRC0033G,Nome não encontrado
Proteína,g,"2,05","4,92","3,38",BRC0033G,Nome não encontrado
Lipídios,g,"2,28","5,48","3,77",BRC0033G,Nome não encontrado
Fibra alimentar,g,"0,32","0,78","0,53",BRC0033G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0033G,Nome não encontrado
Cinzas,g,"0,69","1,66","1,14",BRC0033G,Nome não encontrado
Colesterol,mg,"6,41","15,4","10,6",BRC0033G,Nome não encontrado
Ácidos graxos saturados,g,"1,16","2,78","1,91",BRC0033G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,63","1,52","1,04",BRC0033G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,25","0,17",BRC0033G,Nome não encontrado
Ácidos graxos trans,g,"0,23","0,56","0,38",BRC0033G,Nome não encontrado
Cálcio,mg,"61,6",147,101,BRC0033G,Nome não encontrado
Ferro,mg,"0,87","2,09","1,43",BRC0033G,Nome não encontrado
Sódio,mg,"68,4",164,112,BRC0033G,Nome não encontrado
Magnésio,mg,"12,9","30,9","21,3",BRC0033G,Nome não encontrado
Fósforo,mg,"70,9",170,116,BRC0033G,Nome não encontrado
Potássio,mg,155,372,256,BRC0033G,Nome não encontrado
Manganês,mg,"0,05","0,12","0,08",BRC0033G,Nome não encontrado
Zinco,mg,"0,31","0,75","0,51",BRC0033G,Nome não encontrado
Cobre,mg,"0,05","0,11","0,07",BRC0033G,Nome não encontrado
Selênio,mcg,"2,80","6,73","4,63",BRC0033G,Nome não encontrado
Vitamina A (RE),mcg,"41,2","99,0","68,0",BRC0033G,Nome não encontrado
Vitamina A (RAE),mcg,"41,1","98,7","67,9",BRC0033G,Nome não encontrado
Vitamina D,mcg,"1,01","2,43","1,67",BRC0033G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,13","0,09",BRC0033G,Nome não encontrado
Tiamina,mg,"0,07","0,18","0,12",BRC0033G,Nome não encontrado
Riboflavina,mg,"0,29","0,70","0,48",BRC0033G,Nome não encontrado
Niacina,mg,"1,23","2,95","2,03",BRC0033G,Nome não encontrado
Vitamina B6,mg,"0,14","0,34","0,23",BRC0033G,Nome não encontrado
Vitamina B12,mcg,"0,30","0,71","0,49",BRC0033G,Nome não encontrado
Vitamina C,mg,"3,88","9,31","6,40",BRC0033G,Nome não encontrado
Equivalente de folato,mcg,"11,3","27,0","18,6",BRC0033G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0033G,Nome não encontrado
Açúcar de adição,g,,,,BRC0033G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0033G,Nome não encontrado
Proteína vegetal,g,,,,BRC0033G,Nome não encontrado
Proteína animal,g,,,,BRC0033G,Nome não encontrado
