componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1569,219,BRC0006N,Nome não encontrado
Energia,kcal,369,51,BRC0006N,Nome não encontrado
Umidade,g,"6,33","0,89",BRC0006N,Nome não encontrado
Carboidrato total,g,"42,5","5,95",BRC0006N,Nome não encontrado
Carboidrato disponível,g,"42,4","5,94",BRC0006N,Nome não encontrado
Proteína,g,"48,5","6,79",BRC0006N,Nome não encontrado
Lipídios,g,"0,60","0,08",BRC0006N,Nome não encontrado
Fibra alimentar,g,"0,09","0,01",BRC0006N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0006N,Nome não encontrado
Cinzas,g,"2,04","0,29",BRC0006N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0006N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0006N,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0006N,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0006N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0006N,Nome não encontrado
Cálcio,mg,"2,01","0,28",BRC0006N,Nome não encontrado
Ferro,mg,"0,02","0,00",BRC0006N,Nome não encontrado
Sódio,mg,158,"22,2",BRC0006N,Nome não encontrado
Magnésio,mg,"1,00","0,14",BRC0006N,Nome não encontrado
Fósforo,mg,1298,181,BRC0006N,Nome não encontrado
Potássio,mg,"14,1","1,97",BRC0006N,Nome não encontrado
Manganês,mg,,,BRC0006N,Nome não encontrado
Zinco,mg,"0,07","0,01",BRC0006N,Nome não encontrado
Cobre,mg,,,BRC0006N,Nome não encontrado
Selênio,mcg,,,BRC0006N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0006N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0006N,Nome não encontrado
Vitamina D,mcg,,,BRC0006N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0006N,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0006N,Nome não encontrado
Riboflavina,mg,"0,11","0,02",BRC0006N,Nome não encontrado
Niacina,mg,"0,40","0,06",BRC0006N,Nome não encontrado
Vitamina B6,mg,"0,05","0,01",BRC0006N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0006N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0006N,Nome não encontrado
Equivalente de folato,mcg,"14,1","1,97",BRC0006N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0006N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0006N,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0006N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0006N,Nome não encontrado
Proteína animal,g,"48,5","6,79",BRC0006N,Nome não encontrado
