componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,497,273,198,BRC0546A,Nome não encontrado
Energia,kcal,118,64,47,BRC0546A,Nome não encontrado
Umidade,g,"72,3","39,7","28,9",BRC0546A,Nome não encontrado
Carboidrato total,g,"22,3","12,3","8,94",BRC0546A,Nome não encontrado
Carboidrato disponível,g,"20,5","11,3","8,20",BRC0546A,Nome não encontrado
Proteína,g,"2,52","1,38","1,01",BRC0546A,Nome não encontrado
Lipídios,g,"2,46","1,35","0,98",BRC0546A,Nome não encontrado
Fibra alimentar,g,"1,85","1,02","0,74",BRC0546A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0546A,Nome não encontrado
Cinzas,g,"0,42","0,23","0,17",BRC0546A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0546A,Nome não encontrado
Ácidos graxos saturados,g,"0,44","0,24","0,18",BRC0546A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,51","0,28","0,20",BRC0546A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,32","0,73","0,53",BRC0546A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02",BRC0546A,Nome não encontrado
Cálcio,mg,"19,1","10,5","7,62",BRC0546A,Nome não encontrado
Ferro,mg,"0,40","0,22","0,16",BRC0546A,Nome não encontrado
Sódio,mg,"1,81","0,99","0,72",BRC0546A,Nome não encontrado
Magnésio,mg,"21,5","11,8","8,61",BRC0546A,Nome não encontrado
Fósforo,mg,"28,7","15,8","11,5",BRC0546A,Nome não encontrado
Potássio,mg,"87,0","47,8","34,8",BRC0546A,Nome não encontrado
Manganês,mg,"0,74","0,41","0,30",BRC0546A,Nome não encontrado
Zinco,mg,"0,44","0,24","0,18",BRC0546A,Nome não encontrado
Cobre,mg,"0,14","0,07","0,05",BRC0546A,Nome não encontrado
Selênio,mcg,"1,26","0,70","0,51",BRC0546A,Nome não encontrado
Vitamina A (RE),mcg,"92,6","50,9","37,0",BRC0546A,Nome não encontrado
Vitamina A (RAE),mcg,"46,3","25,5","18,5",BRC0546A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0546A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,76","0,42","0,31",BRC0546A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0546A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0546A,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0546A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0546A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0546A,Nome não encontrado
Vitamina C,mg,"12,5","6,89","5,01",BRC0546A,Nome não encontrado
Equivalente de folato,mcg,"23,3","12,8","9,34",BRC0546A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0546A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0546A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0546A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0546A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0546A,Nome não encontrado
