componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,378,189,113,BRC0861B,Nome não encontrado
Energia,kcal,92,45,27,BRC0861B,Nome não encontrado
Umidade,g,"81,7","40,9","24,5",BRC0861B,Nome não encontrado
Carboidrato total,g,"7,40","3,70","2,22",BRC0861B,Nome não encontrado
Carboidrato disponível,g,"1,97","0,98","0,59",BRC0861B,Nome não encontrado
Proteína,g,"2,07","1,04","0,62",BRC0861B,Nome não encontrado
Lipídios,g,"7,19","3,60","2,16",BRC0861B,Nome não encontrado
Fibra alimentar,g,"5,43","2,72","1,63",BRC0861B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Cinzas,g,"1,63","0,82","0,49",BRC0861B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Ácidos graxos saturados,g,"1,09","0,55","0,33",BRC0861B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,73","0,87","0,52",BRC0861B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,98","1,99","1,19",BRC0861B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0861B,Nome não encontrado
Cálcio,mg,153,"76,7","46,0",BRC0861B,Nome não encontrado
Ferro,mg,"0,45","0,22","0,13",BRC0861B,Nome não encontrado
Sódio,mg,189,"94,8","56,9",BRC0861B,Nome não encontrado
Magnésio,mg,"23,3","11,6","6,99",BRC0861B,Nome não encontrado
Fósforo,mg,"32,1","16,0","9,63",BRC0861B,Nome não encontrado
Potássio,mg,284,142,"85,4",BRC0861B,Nome não encontrado
Manganês,mg,"0,12","0,06","0,03",BRC0861B,Nome não encontrado
Zinco,mg,"0,18","0,09","0,06",BRC0861B,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01",BRC0861B,Nome não encontrado
Selênio,mcg,"3,28","1,64","0,98",BRC0861B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,57","0,79","0,47",BRC0861B,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,01",BRC0861B,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0861B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Vitamina C,mg,"68,2","34,1","20,5",BRC0861B,Nome não encontrado
Equivalente de folato,mcg,"61,2","30,6","18,3",BRC0861B,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,14",BRC0861B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0861B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0861B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0861B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0861B,Nome não encontrado
