componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,317,189,126,BRC0904B,Nome não encontrado
Energia,kcal,76,45,30,BRC0904B,Nome não encontrado
Umidade,g,"85,0","51,0","34,0",BRC0904B,Nome não encontrado
Carboidrato total,g,"6,83","4,10","2,73",BRC0904B,Nome não encontrado
Carboidrato disponível,g,"5,69","3,41","2,28",BRC0904B,Nome não encontrado
Proteína,g,"2,87","1,72","1,15",BRC0904B,Nome não encontrado
Lipídios,g,"4,35","2,61","1,74",BRC0904B,Nome não encontrado
Fibra alimentar,g,"1,14","0,68","0,46",BRC0904B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0904B,Nome não encontrado
Cinzas,g,"0,95","0,57","0,38",BRC0904B,Nome não encontrado
Colesterol,mg,"9,38","5,63","3,75",BRC0904B,Nome não encontrado
Ácidos graxos saturados,g,"2,54","1,52","1,02",BRC0904B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,12","0,67","0,45",BRC0904B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,08","0,05",BRC0904B,Nome não encontrado
Ácidos graxos trans,g,"0,12","0,07","0,05",BRC0904B,Nome não encontrado
Cálcio,mg,"85,0","51,0","34,0",BRC0904B,Nome não encontrado
Ferro,mg,"0,23","0,14","0,09",BRC0904B,Nome não encontrado
Sódio,mg,216,129,"86,4",BRC0904B,Nome não encontrado
Magnésio,mg,"10,1","6,04","4,03",BRC0904B,Nome não encontrado
Fósforo,mg,"69,9","42,0","28,0",BRC0904B,Nome não encontrado
Potássio,mg,"84,7","50,8","33,9",BRC0904B,Nome não encontrado
Manganês,mg,"0,06","0,04","0,02",BRC0904B,Nome não encontrado
Zinco,mg,"0,40","0,24","0,16",BRC0904B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01",BRC0904B,Nome não encontrado
Selênio,mcg,"2,77","1,66","1,11",BRC0904B,Nome não encontrado
Vitamina A (RE),mcg,"37,1","22,3","14,8",BRC0904B,Nome não encontrado
Vitamina A (RAE),mcg,"36,3","21,8","14,5",BRC0904B,Nome não encontrado
Vitamina D,mcg,"0,36","0,22","0,14",BRC0904B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,05","0,03",BRC0904B,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,02",BRC0904B,Nome não encontrado
Riboflavina,mg,"0,08","0,05","0,03",BRC0904B,Nome não encontrado
Niacina,mg,"0,41","0,25","0,16",BRC0904B,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,00",BRC0904B,Nome não encontrado
Vitamina B12,mcg,"0,16","0,10","0,07",BRC0904B,Nome não encontrado
Vitamina C,mg,"4,25","2,55","1,70",BRC0904B,Nome não encontrado
Equivalente de folato,mcg,"11,7","7,04","4,70",BRC0904B,Nome não encontrado
Sal de adição,g,"0,32","0,19","0,13",BRC0904B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0904B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0904B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0904B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0904B,Nome não encontrado
