componente,unidade,Valor por 100g,Colher café cheia (2 g),Colher chá cheia (4 g),Colher chá rasa (2 g),Colher sobremesa cheia (10 g),Colher sobremesa rasa (7 g),Colher sopa cheia (15 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1587,31,63,31,158,111,237,158,BRC0129K,Nome não encontrado
Energia,kcal,373,7,14,7,37,26,55,37,BRC0129K,Nome não encontrado
Umidade,g,"1,43","0,03","0,06","0,03","0,14","0,10","0,21","0,14",BRC0129K,Nome não encontrado
Carboidrato total,g,"93,3","1,87","3,73","1,87","9,33","6,53","14,0","9,33",BRC0129K,Nome não encontrado
Carboidrato disponível,g,"93,3","1,87","3,73","1,87","9,33","6,53","14,0","9,33",BRC0129K,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Cinzas,g,"5,24","0,10","0,21","0,10","0,52","0,37","0,79","0,52",BRC0129K,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Cálcio,mg,909,"18,2","36,4","18,2","90,9","63,6",136,"90,9",BRC0129K,Nome não encontrado
Ferro,mg,"16,4","0,33","0,65","0,33","1,64","1,15","2,45","1,64",BRC0129K,Nome não encontrado
Sódio,mg,636,"12,7","25,4","12,7","63,6","44,5","95,4","63,6",BRC0129K,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Potássio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Manganês,mg,,,,,,,,,BRC0129K,Nome não encontrado
Zinco,mg,"13,6","0,27","0,55","0,27","1,36","0,95","2,05","1,36",BRC0129K,Nome não encontrado
Cobre,mg,"1,82","0,04","0,07","0,04","0,18","0,13","0,27","0,18",BRC0129K,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Vitamina A (RE),mcg,1365,"27,3","54,6","27,3",136,"95,6",204,136,BRC0129K,Nome não encontrado
Vitamina A (RAE),mcg,1365,"27,3","54,6","27,3",136,"95,6",204,136,BRC0129K,Nome não encontrado
Vitamina D,mcg,"9,10","0,18","0,36","0,18","0,91","0,64","1,37","0,91",BRC0129K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"12,3","0,25","0,49","0,25","1,23","0,86","1,84","1,23",BRC0129K,Nome não encontrado
Tiamina,mg,"1,36","0,03","0,05","0,03","0,14","0,10","0,20","0,14",BRC0129K,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Niacina,mg,"18,2","0,36","0,73","0,36","1,82","1,27","2,73","1,82",BRC0129K,Nome não encontrado
Vitamina B6,mg,"1,82","0,04","0,07","0,04","0,18","0,13","0,27","0,18",BRC0129K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Vitamina C,mg,"54,5","1,09","2,18","1,09","5,45","3,82","8,18","5,45",BRC0129K,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0129K,Nome não encontrado
Sal de adição,g,,,,,,,,,BRC0129K,Nome não encontrado
Açúcar de adição,g,,,,,,,,,BRC0129K,Nome não encontrado
Gordura de adição,g,,,,,,,,,BRC0129K,Nome não encontrado
Proteína vegetal,g,,,,,,,,,BRC0129K,Nome não encontrado
Proteína animal,g,,,,,,,,,BRC0129K,Nome não encontrado
