componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,490,244,538,440,979,BRC0217A,Nome não encontrado
Energia,kcal,116,57,127,104,231,BRC0217A,Nome não encontrado
Umidade,g,"71,8","35,9","79,0","64,6",143,BRC0217A,Nome não encontrado
Carboidrato total,g,"23,0","11,5","25,3","20,7","46,0",BRC0217A,Nome não encontrado
Carboidrato disponível,g,"21,7","10,9","23,9","19,6","43,5",BRC0217A,Nome não encontrado
Proteína,g,"3,20","1,60","3,52","2,88","6,39",BRC0217A,Nome não encontrado
Lipídios,g,"1,51","0,76","1,66","1,36","3,02",BRC0217A,Nome não encontrado
Fibra alimentar,g,"1,24","0,62","1,37","1,12","2,49",BRC0217A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0217A,Nome não encontrado
Cinzas,g,"0,49","0,24","0,54","0,44","0,97",BRC0217A,Nome não encontrado
Colesterol,mg,"4,90","2,45","5,39","4,41","9,80",BRC0217A,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,16","0,34","0,28","0,62",BRC0217A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,35","0,18","0,39","0,32","0,70",BRC0217A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,83","0,42","0,91","0,75","1,66",BRC0217A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,03","0,02","0,05",BRC0217A,Nome não encontrado
Cálcio,mg,"7,21","3,61","7,94","6,49","14,4",BRC0217A,Nome não encontrado
Ferro,mg,"0,28","0,14","0,31","0,26","0,57",BRC0217A,Nome não encontrado
Sódio,mg,"82,4","41,2","90,6","74,1",164,BRC0217A,Nome não encontrado
Magnésio,mg,"3,21","1,61","3,54","2,89","6,43",BRC0217A,Nome não encontrado
Fósforo,mg,"36,6","18,3","40,2","32,9","73,1",BRC0217A,Nome não encontrado
Potássio,mg,"85,2","42,6","93,7","76,7",170,BRC0217A,Nome não encontrado
Manganês,mg,"0,15","0,07","0,16","0,13","0,30",BRC0217A,Nome não encontrado
Zinco,mg,"0,32","0,16","0,35","0,29","0,64",BRC0217A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,07","0,06","0,12",BRC0217A,Nome não encontrado
Selênio,mcg,"1,50","0,75","1,65","1,35","3,00",BRC0217A,Nome não encontrado
Vitamina A (RE),mcg,"27,3","13,7","30,1","24,6","54,7",BRC0217A,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","6,83","15,0","12,3","27,3",BRC0217A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0217A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,13","0,29","0,24","0,53",BRC0217A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,06","0,05","0,12",BRC0217A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,02","0,01","0,03",BRC0217A,Nome não encontrado
Niacina,mg,"1,00","0,50","1,10","0,90","2,00",BRC0217A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,02","0,02","0,03",BRC0217A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0217A,Nome não encontrado
Vitamina C,mg,"4,07","2,04","4,48","3,66","8,14",BRC0217A,Nome não encontrado
Equivalente de folato,mcg,"56,8","28,4","62,5","51,1",113,BRC0217A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0217A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0217A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0217A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0217A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0217A,Nome não encontrado
