componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,342,136,68,BRC0347E,Nome não encontrado
Energia,kcal,81,32,16,BRC0347E,Nome não encontrado
Umidade,g,"80,7","32,3","16,1",BRC0347E,Nome não encontrado
Carboidrato total,g,"1,33","0,53","0,27",BRC0347E,Nome não encontrado
Carboidrato disponível,g,"0,82","0,33","0,16",BRC0347E,Nome não encontrado
Proteína,g,"14,6","5,83","2,92",BRC0347E,Nome não encontrado
Lipídios,g,"2,06","0,83","0,41",BRC0347E,Nome não encontrado
Fibra alimentar,g,"0,51","0,20","0,10",BRC0347E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0347E,Nome não encontrado
Cinzas,g,"1,98","0,79","0,40",BRC0347E,Nome não encontrado
Colesterol,mg,244,"97,8","48,9",BRC0347E,Nome não encontrado
Ácidos graxos saturados,g,"0,57","0,23","0,11",BRC0347E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,44","0,18","0,09",BRC0347E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,33","0,16",BRC0347E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0347E,Nome não encontrado
Cálcio,mg,"69,0","27,6","13,8",BRC0347E,Nome não encontrado
Ferro,mg,"1,88","0,75","0,38",BRC0347E,Nome não encontrado
Sódio,mg,532,212,106,BRC0347E,Nome não encontrado
Magnésio,mg,"17,2","6,90","3,45",BRC0347E,Nome não encontrado
Fósforo,mg,204,"81,9","41,0",BRC0347E,Nome não encontrado
Potássio,mg,136,"54,7","27,4",BRC0347E,Nome não encontrado
Manganês,mg,"0,06","0,03","0,01",BRC0347E,Nome não encontrado
Zinco,mg,"0,97","0,39","0,19",BRC0347E,Nome não encontrado
Cobre,mg,"0,15","0,06","0,03",BRC0347E,Nome não encontrado
Selênio,mcg,"35,2","14,1","7,03",BRC0347E,Nome não encontrado
Vitamina A (RE),mcg,"27,2","10,9","5,44",BRC0347E,Nome não encontrado
Vitamina A (RAE),mcg,"13,6","5,44","2,72",BRC0347E,Nome não encontrado
Vitamina D,mcg,"0,06","0,02","0,01",BRC0347E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,35","0,54","0,27",BRC0347E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,00",BRC0347E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0347E,Nome não encontrado
Niacina,mg,"0,79","0,32","0,16",BRC0347E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,00",BRC0347E,Nome não encontrado
Vitamina B12,mcg,"1,22","0,49","0,24",BRC0347E,Nome não encontrado
Vitamina C,mg,"4,05","1,62","0,81",BRC0347E,Nome não encontrado
Equivalente de folato,mcg,"16,6","6,65","3,33",BRC0347E,Nome não encontrado
Sal de adição,g,"0,45","0,18","0,09",BRC0347E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0347E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0347E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0347E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0347E,Nome não encontrado
