componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,341,819,563,BRC0237C,Nome não encontrado
Energia,kcal,83,198,136,BRC0237C,Nome não encontrado
Umidade,g,"83,6",200,137,BRC0237C,Nome não encontrado
Carboidrato total,g,"8,96","21,5","14,8",BRC0237C,Nome não encontrado
Carboidrato disponível,g,"2,96","7,11","4,89",BRC0237C,Nome não encontrado
Proteína,g,"0,88","2,10","1,45",BRC0237C,Nome não encontrado
Lipídios,g,"6,17","14,8","10,2",BRC0237C,Nome não encontrado
Fibra alimentar,g,"6,00","14,4","9,90",BRC0237C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
Cinzas,g,"0,39","0,94","0,65",BRC0237C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
Ácidos graxos saturados,g,"1,66","3,99","2,75",BRC0237C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,78","13,9","9,53",BRC0237C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,38","0,26",BRC0237C,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0237C,Nome não encontrado
Cálcio,mg,"52,8",126,"87,1",BRC0237C,Nome não encontrado
Ferro,mg,"0,44","1,07","0,73",BRC0237C,Nome não encontrado
Sódio,mg,"2,80","6,72","4,62",BRC0237C,Nome não encontrado
Magnésio,mg,"12,4","29,8","20,5",BRC0237C,Nome não encontrado
Fósforo,mg,"1,60","3,84","2,64",BRC0237C,Nome não encontrado
Potássio,mg,"87,2",209,143,BRC0237C,Nome não encontrado
Manganês,mg,2422,5812,3996,BRC0237C,Nome não encontrado
Zinco,mg,"0,31","0,74","0,51",BRC0237C,Nome não encontrado
Cobre,mg,"0,04","0,10","0,07",BRC0237C,Nome não encontrado
Selênio,mcg,"12,0","28,8","19,8",BRC0237C,Nome não encontrado
Vitamina A (RE),mcg,963,2311,1589,BRC0237C,Nome não encontrado
Vitamina A (RAE),mcg,481,1155,794,BRC0237C,Nome não encontrado
Vitamina D,mcg,,,,BRC0237C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"7,85","18,8","12,9",BRC0237C,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
Riboflavina,mg,"0,02","0,04","0,03",BRC0237C,Nome não encontrado
Niacina,mg,"3,37","8,09","5,56",BRC0237C,Nome não encontrado
Vitamina B6,mg,"0,03","0,06","0,04",BRC0237C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
Vitamina C,mg,"15,1","36,3","25,0",BRC0237C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0237C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
Proteína vegetal,g,"0,88","2,10","1,45",BRC0237C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0237C,Nome não encontrado
