componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,295,590,BRC0067H,Nome não encontrado
Energia,kcal,70,139,BRC0067H,Nome não encontrado
Umidade,g,"81,9",163,BRC0067H,Nome não encontrado
Carboidrato total,g,"13,1","26,3",BRC0067H,Nome não encontrado
Carboidrato disponível,g,"11,4","22,8",BRC0067H,Nome não encontrado
Proteína,g,"3,17","6,34",BRC0067H,Nome não encontrado
Lipídios,g,"0,91","1,82",BRC0067H,Nome não encontrado
Fibra alimentar,g,"1,74","3,48",BRC0067H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0067H,Nome não encontrado
Cinzas,g,"0,91","1,83",BRC0067H,Nome não encontrado
Colesterol,mg,"2,65","5,29",BRC0067H,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,76",BRC0067H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,23","0,45",BRC0067H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,04",BRC0067H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0067H,Nome não encontrado
Cálcio,mg,104,208,BRC0067H,Nome não encontrado
Ferro,mg,"0,78","1,56",BRC0067H,Nome não encontrado
Sódio,mg,"38,2","76,4",BRC0067H,Nome não encontrado
Magnésio,mg,"34,2","68,3",BRC0067H,Nome não encontrado
Fósforo,mg,"97,6",195,BRC0067H,Nome não encontrado
Potássio,mg,210,421,BRC0067H,Nome não encontrado
Manganês,mg,"0,31","0,62",BRC0067H,Nome não encontrado
Zinco,mg,"0,60","1,20",BRC0067H,Nome não encontrado
Cobre,mg,"0,20","0,39",BRC0067H,Nome não encontrado
Selênio,mcg,,,BRC0067H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0067H,Nome não encontrado
Vitamina A (RAE),mcg,"6,35","12,7",BRC0067H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0067H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,09",BRC0067H,Nome não encontrado
Tiamina,mg,"0,04","0,07",BRC0067H,Nome não encontrado
Riboflavina,mg,"0,21","0,43",BRC0067H,Nome não encontrado
Niacina,mg,"1,20","2,39",BRC0067H,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0067H,Nome não encontrado
Vitamina B12,mcg,"0,39","0,77",BRC0067H,Nome não encontrado
Vitamina C,mg,traços,,BRC0067H,Nome não encontrado
Equivalente de folato,mcg,"5,75","11,5",BRC0067H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0067H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0067H,Nome não encontrado
Gordura de adição,g,-,-,BRC0067H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0067H,Nome não encontrado
Proteína animal,g,-,-,BRC0067H,Nome não encontrado
