componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,401,180,BRC0393E,Nome não encontrado
Energia,kcal,96,43,BRC0393E,Nome não encontrado
Umidade,g,"81,6","36,7",BRC0393E,Nome não encontrado
Carboidrato total,g,"3,11","1,40",BRC0393E,Nome não encontrado
Carboidrato disponível,g,"2,77","1,25",BRC0393E,Nome não encontrado
Proteína,g,"7,91","3,56",BRC0393E,Nome não encontrado
Lipídios,g,"5,94","2,67",BRC0393E,Nome não encontrado
Fibra alimentar,g,"0,39","0,17",BRC0393E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0393E,Nome não encontrado
Cinzas,g,"1,42","0,64",BRC0393E,Nome não encontrado
Colesterol,mg,116,"52,3",BRC0393E,Nome não encontrado
Ácidos graxos saturados,g,"1,64","0,74",BRC0393E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,90","0,40",BRC0393E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,52","0,68",BRC0393E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0393E,Nome não encontrado
Cálcio,mg,"42,6","19,2",BRC0393E,Nome não encontrado
Ferro,mg,"1,41","0,64",BRC0393E,Nome não encontrado
Sódio,mg,264,118,BRC0393E,Nome não encontrado
Magnésio,mg,"14,8","6,66",BRC0393E,Nome não encontrado
Fósforo,mg,242,109,BRC0393E,Nome não encontrado
Potássio,mg,138,"62,3",BRC0393E,Nome não encontrado
Manganês,mg,"0,11","0,05",BRC0393E,Nome não encontrado
Zinco,mg,"0,47","0,21",BRC0393E,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC0393E,Nome não encontrado
Selênio,mcg,,,BRC0393E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0393E,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0393E,Nome não encontrado
Vitamina D,mcg,,,BRC0393E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0393E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0393E,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0393E,Nome não encontrado
Niacina,mg,"0,31","0,14",BRC0393E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0393E,Nome não encontrado
Vitamina B12,mcg,,,BRC0393E,Nome não encontrado
Vitamina C,mg,"4,05","1,82",BRC0393E,Nome não encontrado
Equivalente de folato,mcg,,,BRC0393E,Nome não encontrado
Sal de adição,g,"0,45","0,20",BRC0393E,Nome não encontrado
Açúcar de adição,g,,,BRC0393E,Nome não encontrado
Gordura de adição,g,-,-,BRC0393E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0393E,Nome não encontrado
Proteína animal,g,-,-,BRC0393E,Nome não encontrado
