componente,unidade,Valor por 100g,Colher sopa cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,467,186,BRC0067K,Nome não encontrado
Energia,kcal,111,44,BRC0067K,Nome não encontrado
Umidade,g,"74,7","29,9",BRC0067K,Nome não encontrado
Carboidrato total,g,"19,2","7,68",BRC0067K,Nome não encontrado
Carboidrato disponível,g,"19,2","7,68",BRC0067K,Nome não encontrado
Proteína,g,"2,80","1,12",BRC0067K,Nome não encontrado
Lipídios,g,"2,50","1,00",BRC0067K,Nome não encontrado
Fibra alimentar,g,,,BRC0067K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0067K,Nome não encontrado
Cinzas,g,"0,80","0,32",BRC0067K,Nome não encontrado
Colesterol,mg,"9,48","3,79",BRC0067K,Nome não encontrado
Ácidos graxos saturados,g,"1,50","0,60",BRC0067K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,73","0,29",BRC0067K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,05",BRC0067K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0067K,Nome não encontrado
Cálcio,mg,"93,5","37,4",BRC0067K,Nome não encontrado
Ferro,mg,"0,06","0,02",BRC0067K,Nome não encontrado
Sódio,mg,252,100,BRC0067K,Nome não encontrado
Magnésio,mg,"10,4","4,15",BRC0067K,Nome não encontrado
Fósforo,mg,193,"77,4",BRC0067K,Nome não encontrado
Potássio,mg,119,"48,0",BRC0067K,Nome não encontrado
Manganês,mg,,,BRC0067K,Nome não encontrado
Zinco,mg,"0,30","0,12",BRC0067K,Nome não encontrado
Cobre,mg,,,BRC0067K,Nome não encontrado
Selênio,mcg,,,BRC0067K,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0067K,Nome não encontrado
Vitamina A (RAE),mcg,"20,7","8,28",BRC0067K,Nome não encontrado
Vitamina D,mcg,,,BRC0067K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0067K,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0067K,Nome não encontrado
Riboflavina,mg,"0,13","0,05",BRC0067K,Nome não encontrado
Niacina,mg,"0,07","0,03",BRC0067K,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0067K,Nome não encontrado
Vitamina B12,mcg,"0,28","0,11",BRC0067K,Nome não encontrado
Vitamina C,mg,"0,76","0,30",BRC0067K,Nome não encontrado
Equivalente de folato,mcg,"3,78","1,51",BRC0067K,Nome não encontrado
Sal de adição,g,,,BRC0067K,Nome não encontrado
Açúcar de adição,g,,,BRC0067K,Nome não encontrado
Gordura de adição,g,,,BRC0067K,Nome não encontrado
Proteína vegetal,g,,,BRC0067K,Nome não encontrado
Proteína animal,g,,,BRC0067K,Nome não encontrado
